"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.68","46.11","MONCTON A","8103200","2009-01-01","2009","01","01","","-10.6","","-12.5","","-11.6","","29.6","","0.0","","0.0","","7.6","","7.6","","10","","28","E","61","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-02","2009","01","02","","-6.4","","-14.3","","-10.4","","28.4","","0.0","","0.0","","0.4","","0.2","","15","","26","E","52","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-03","2009","01","03","","-7.5","","-13.3","","-10.4","","28.4","","0.0","","0.0","","1.4","","1.8","","12","","26","E","59","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-04","2009","01","04","","-0.4","","-11.3","","-5.9","","23.9","","0.0","","0.0","","0.6","","0.4","","13","","24","E","50","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-05","2009","01","05","","-2.4","","-8.8","","-5.6","","23.6","","0.0","","0.0","","0.4","","0.2","","13","","23","E","56","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-06","2009","01","06","","-5.2","","-11.2","","-8.2","","26.2","","0.0","","0.0","","0.0","","0.0","","13","","24","E","61","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-07","2009","01","07","","-3.9","","-12.7","","-8.3","","26.3","","0.0","","0.7","","6.3","","7.4","","13","","7","E","39","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-08","2009","01","08","","1.2","","-8.9","","-3.9","","21.9","","0.0","","0.4","","0.4","","0.6","","18","","24","E","67","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-09","2009","01","09","","-6.0","","-13.4","","-9.7","","27.7","","0.0","","0.0","","0.8","","0.2","","17","","","","<31",""
"-64.68","46.11","MONCTON A","8103200","2009-01-10","2009","01","10","","-7.7","","-16.7","","-12.2","","30.2","","0.0","","0.0","","0.0","","0.0","","18","","24","E","44","E"
"-64.68","46.11","MONCTON A","8103200","2009-01-11","2009","01","11","","-11.7","","-18.6","","-15.2","","33.2","","0.0","","0.0","","2.6","","2.8","","17","","","","<31",""
"-64.68","46.11","MONCTON A","8103200","2009-01-12","2009","01","12","","-11.4","","-20.1","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
