"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-01","2014","01","01","","-23.4","","-45.8","","-34.6","","52.6","","0.0","","0.2","","2.2","","2.0","","15","","12","","44",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-02","2014","01","02","","-25.1","","-30.7","","-27.9","","45.9","","0.0","","","M","5.2","","4.4","","19","","28","","48",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-03","2014","01","03","","-25.2","","-41.3","","-33.3","","51.3","","0.0","","0.0","","0.0","T","0.0","T","20","","28","","43",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-04","2014","01","04","","-32.9","","-43.2","","-38.1","","56.1","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-05","2014","01","05","","-21.0","","-34.1","","-27.6","","45.6","","0.0","","0.0","","0.0","T","0.0","T","20","","12","","65",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-06","2014","01","06","","-18.1","","-22.0","","-20.1","","38.1","","0.0","","0.0","","1.2","","1.2","","15","","12","","61",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-07","2014","01","07","","-17.6","","-20.2","","-18.9","","36.9","","0.0","","0.0","","0.4","","0.4","","15","","12","","67",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-08","2014","01","08","","-16.1","","-21.0","","-18.6","","36.6","","0.0","","0.2","","2.4","","1.8","","15","","28","","52",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-09","2014","01","09","","-20.6","","-24.7","","-22.7","","40.7","","0.0","","0.0","","0.6","","0.4","","15","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-10","2014","01","10","","-23.8","","-29.2","","-26.5","","44.5","","0.0","","0.0","","0.6","","0.6","","15","","28","","39",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-11","2014","01","11","","-25.1","","-43.7","","-34.4","","52.4","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-12","2014","01","12","","-39.2","","-45.6","","-42.4","","60.4","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-13","2014","01","13","","-33.9","","-45.0","","-39.5","","57.5","","0.0","","0.0","","0.0","T","0.0","T","14","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-14","2014","01","14","","-19.7","","-35.5","","-27.6","","45.6","","0.0","","0.0","","0.0","T","0.0","T","14","","11","","33",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-15","2014","01","15","","-17.9","","-24.3","","-21.1","","39.1","","0.0","","0.0","","1.6","","1.0","","14","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-16","2014","01","16","","-15.1","","-20.9","","-18.0","","36.0","","0.0","","0.2","","5.4","","4.8","","17","","28","","44",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-17","2014","01","17","","-18.9","","-25.1","","-22.0","","40.0","","0.0","","0.0","","3.8","","3.4","","21","","28","","56",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-18","2014","01","18","","-15.9","","-20.1","","-18.0","","36.0","","0.0","","0.0","","1.0","","0.8","","21","","10","","72",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-19","2014","01","19","","-16.5","","-21.7","","-19.1","","37.1","","0.0","","0.0","","1.2","","0.8","","21","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-20","2014","01","20","","-16.6","","-28.4","","-22.5","","40.5","","0.0","","0.0","","0.0","T","0.0","T","21","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-21","2014","01","21","","-15.5","","-24.2","","-19.9","","37.9","","0.0","","0.0","","0.0","T","0.0","T","21","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-22","2014","01","22","","-14.0","","-22.0","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-23","2014","01","23","","-8.2","","-15.0","","-11.6","","29.6","","0.0","","0.4","","2.8","","2.8","","20","","","","<31",""
"-126.80","65.28","NORMAN WELLS A","2202801","2014-01-24","2014","01","24","","-9.1","","-13.6","","-11.4","","29.4","","0.0","","0.4","","0.4","","0.8","","23","","","","<31",""
