"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-01","2018","01","01","","-19.8","","-27.9","","-23.9","","41.9","","0.0","","","M","","M","0.6","","22","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-02","2018","01","02","","-8.2","","-26.9","","-17.6","","35.6","","0.0","","","M","","M","1.6","","23","","25","","52",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-03","2018","01","03","","-9.1","","-16.9","","-13.0","","31.0","","0.0","","","M","","M","2.8","","25","","19","","35",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-04","2018","01","04","","-16.9","","-27.0","","-22.0","","40.0","","0.0","","","M","","M","0.0","","30","","1","","48",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-05","2018","01","05","","-23.3","","-30.0","","-26.7","","44.7","","0.0","","","M","","M","0.0","","22","","32","","43",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-06","2018","01","06","","-22.1","","-33.8","","-28.0","","46.0","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-07","2018","01","07","","-7.8","","-27.4","","-17.6","","35.6","","0.0","","","M","","M","6.7","","22","","19","","52",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-08","2018","01","08","","-2.0","","-8.4","","-5.2","","23.2","","0.0","","","M","","M","6.5","","27","","25","","41",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-09","2018","01","09","","-3.8","","-11.2","","-7.5","","25.5","","0.0","","","M","","M","0.0","T","28","","30","","37",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-10","2018","01","10","","3.4","","-11.2","","-3.9","","21.9","","0.0","","","M","","M","1.8","","28","","21","","39",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-11","2018","01","11","","7.9","","2.7","","5.3","","12.7","","0.0","","","M","","M","14.7","","18","","20","","39",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-12","2018","01","12","","7.4","","-21.9","","-7.3","","25.3","","0.0","","","M","","M","11.6","","0","T","36","","41",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-13","2018","01","13","","-19.6","","-25.7","","-22.7","","40.7","","0.0","","","M","","M","0.0","","0","T","35","","39",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-14","2018","01","14","","-12.4","","-25.1","","-18.8","","36.8","","0.0","","","M","","M","0.0","T","0","T","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-15","2018","01","15","","-13.0","","-16.0","","-14.5","","32.5","","0.0","","","M","","M","0.2","","0","T","10","","33",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-16","2018","01","16","","-10.1","","-17.4","","-13.8","","31.8","","0.0","","","M","","M","0.0","T","0","T","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-17","2018","01","17","","-4.6","","-17.6","","-11.1","","29.1","","0.0","","","M","","M","0.0","","0","T","22","","52",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-18","2018","01","18","","-3.2","","-5.9","","-4.6","","22.6","","0.0","","","M","","M","0.6","","0","T","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-19","2018","01","19","","-1.3","","-5.3","","-3.3","","21.3","","0.0","","","M","","M","0.0","T","1","","23","","39",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-20","2018","01","20","","2.8","","-3.2","","-0.2","","18.2","","0.0","","","M","","M","0.0","T","1","","27","","39",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-21","2018","01","21","","0.4","","-4.9","","-2.3","","20.3","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-22","2018","01","22","","-4.1","","-7.3","","-5.7","","23.7","","0.0","","","M","","M","17.0","","0","T","8","","43",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-23","2018","01","23","","-3.6","","-15.8","","-9.7","","27.7","","0.0","","","M","","M","6.0","","7","","8","","39",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-24","2018","01","24","","-11.9","","-20.6","","-16.3","","34.3","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-25","2018","01","25","","-10.2","","-20.7","","-15.5","","33.5","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-26","2018","01","26","","1.2","","-10.3","","-4.6","","22.6","","0.0","","","M","","M","1.0","","7","","20","","48",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-27","2018","01","27","","4.8","","-0.5","","2.2","","15.8","","0.0","","","M","","M","0.0","","7","","22","","50",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-28","2018","01","28","","-0.4","","-16.6","","-8.5","","26.5","","0.0","","","M","","M","0.0","T","5","","23","","33",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-29","2018","01","29","","-12.9","","-19.9","","-16.4","","34.4","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-30","2018","01","30","","-14.6","","-21.9","","-18.3","","36.3","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-01-31","2018","01","31","","-2.6","","-21.3","","-12.0","","30.0","","0.0","","","M","","M","9.6","","5","","24","","33",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-01","2018","02","01","","-2.3","","-21.0","","-11.7","","29.7","","0.0","","","M","","M","5.2","","16","","34","","33",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-02","2018","02","02","","-18.1","","-27.5","","-22.8","","40.8","","0.0","","","M","","M","0.3","","20","","24","","33",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-03","2018","02","03","","-12.9","","-19.4","","-16.2","","34.2","","0.0","","","M","","M","3.5","","20","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-04","2018","02","04","","-12.2","","-21.1","","-16.7","","34.7","","0.0","","","M","","M","2.9","","19","","4","","35",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-05","2018","02","05","","-9.8","","-23.7","","-16.8","","34.8","","0.0","","","M","","M","0.0","","20","","25","","43",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-06","2018","02","06","","-11.2","","-19.1","","-15.2","","33.2","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-07","2018","02","07","","-9.8","","-20.0","","-14.9","","32.9","","0.0","","","M","","M","1.0","","19","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-08","2018","02","08","","-10.1","","-24.9","","-17.5","","35.5","","0.0","","","M","","M","0.0","","19","","20","","32",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-09","2018","02","09","","-9.1","","-20.2","","-14.7","","32.7","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-10","2018","02","10","","-10.4","","-17.0","","-13.7","","31.7","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-11","2018","02","11","","-9.9","","-18.1","","-14.0","","32.0","","0.0","","","M","","M","6.8","","21","","","","<31",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-12","2018","02","12","","-9.8","","-18.4","","-14.1","","32.1","","0.0","","","M","","M","0.0","","28","","25","","35",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-13","2018","02","13","","-7.2","","-21.3","","-14.3","","32.3","","0.0","","","M","","M","0.2","","27","","19","","39",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-14","2018","02","14","","-1.0","","-9.0","","-5.0","","23.0","","0.0","","","M","","M","0.0","","26","","23","","46",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-15","2018","02","15","","1.5","","-7.1","","-2.8","","20.8","","0.0","","","M","","M","1.4","","24","","25","","43",""
"-79.40","46.38","NORTH BAY AIRPORT","6085695","2018-02-16","2018","02","16","","-7.1","","-14.9","","-11.0","","29.0","","0.0","","","M","","M","0.0","","21","","35","","32",""
