"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-01","2011","01","01","","7.2","","-5.5","","0.9","","17.1","","0.0","","11.6","","0.0","T","11.6","","21","","23","E","65","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-02","2011","01","02","","-5.4","","-7.7","","-6.6","","24.6","","0.0","","0.0","","0.8","","0.8","","5","","22","E","41","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-03","2011","01","03","","-4.8","","-10.9","","-7.9","","25.9","","0.0","","0.0","","0.4","","0.2","","5","","25","E","35","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-04","2011","01","04","","-4.2","","-12.3","","-8.3","","26.3","","0.0","","0.0","","7.6","","5.4","","8","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","2011-01-05","2011","01","05","","-7.8","","-14.3","","-11.1","","29.1","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","2011-01-06","2011","01","06","","-5.0","","-9.7","","-7.4","","25.4","","0.0","","0.0","","1.6","","1.6","","11","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","2011-01-07","2011","01","07","","-5.6","","-11.5","","-8.6","","26.6","","0.0","","0.0","","5.8","","4.6","","14","","10","E","32","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-08","2011","01","08","","-8.2","","-15.3","","-11.8","","29.8","","0.0","","0.0","","1.0","","0.6","","17","","36","E","32","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-09","2011","01","09","","-10.2","","-16.1","","-13.2","","31.2","","0.0","","0.0","","0.2","","0.2","","17","","35","E","37","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-10","2011","01","10","","-7.5","","-12.8","","-10.2","","28.2","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","2011-01-11","2011","01","11","","-8.7","","-16.6","","-12.7","","30.7","","0.0","","0.0","","0.0","T","0.0","T","16","","4","E","32","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-12","2011","01","12","","-10.5","","-13.4","","-12.0","","30.0","","0.0","","0.0","","1.0","","0.4","","17","","36","E","46","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-13","2011","01","13","","-9.8","","-17.6","","-13.7","","31.7","","0.0","","0.0","","0.4","","0.0","T","16","","36","E","39","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-14","2011","01","14","","-9.3","","-16.6","","-13.0","","31.0","","0.0","","0.0","","0.0","T","0.0","T","16","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","2011-01-15","2011","01","15","","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","7.4","","7.4","","18","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","2011-01-16","2011","01","16","","-14.9","","-24.4","","-19.7","","37.7","","0.0","","0.0","","0.0","T","0.0","T","23","","33","E","37","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-17","2011","01","17","","-9.9","","-23.7","","-16.8","","34.8","","0.0","","0.0","","0.8","","0.6","","23","","16","E","32","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-18","2011","01","18","","-3.0","","-19.0","","-11.0","","29.0","","0.0","","0.0","","15.0","","11.2","","26","","2","E","59","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-19","2011","01","19","","-17.3","","-24.3","","-20.8","","38.8","","0.0","","0.0","","0.0","","0.0","","42","","3","E","41","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-20","2011","01","20","","-13.5","","-26.1","","-19.8","","37.8","","0.0","","0.0","","0.0","T","0.0","T","41","","","","<31",""
"-79.42","46.36","NORTH BAY A","6085700","2011-01-21","2011","01","21","","-11.7","","-24.9","","-18.3","","36.3","","0.0","","0.0","","1.2","","1.2","","41","","35","E","33","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-22","2011","01","22","","-18.6","","-27.6","","-23.1","","41.1","","0.0","","0.0","","0.2","","0.2","","41","","3","E","33","E"
"-79.42","46.36","NORTH BAY A","6085700","2011-01-23","2011","01","23","","-26.4","","-33.1","","-29.8","","47.8","","0.0","","0.0","","0.0","","0.0","","41","","","","<31",""
