"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-66.10","45.51","OAK POINT","8103780","2013-01-01","2013","01","01","†","-1.4","","-10.5","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-02","2013","01","02","†","-12.6","","-17.8","","-15.2","","33.2","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-03","2013","01","03","†","-11.6","","-19.0","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-04","2013","01","04","†","-0.4","","-20.8","","-10.6","","28.6","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-05","2013","01","05","†","-0.6","","-10.4","","-5.5","","23.5","","0.0","","0.0","","0.2","","0.2","","35","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-06","2013","01","06","†","-6.0","","-19.0","","-12.5","","30.5","","0.0","","0.0","","5.0","","5.0","","35","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-07","2013","01","07","†","-11.0","","-14.7","","-12.9","","30.9","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-08","2013","01","08","†","4.4","","-24.4","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-09","2013","01","09","†","3.5","","-13.0","","-4.8","","22.8","","0.0","","2.6","","0.0","","2.6","","35","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-10","2013","01","10","†","4.5","","1.5","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","24","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-11","2013","01","11","†","-0.7","","-6.5","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-12","2013","01","12","†","1.3","","-7.5","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-13","2013","01","13","†","7.8","","-0.1","","3.9","","14.1","","0.0","","0.6","","0.0","","0.6","","22","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-14","2013","01","14","†","7.8","","3.0","","5.4","","12.6","","0.0","","0.0","T","0.0","","0.0","T","17","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-15","2013","01","15","†","0.3","","-4.1","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-16","2013","01","16","†","1.4","","-9.5","","-4.1","","22.1","","0.0","","0.0","T","10.0","","10.0","","11","","","","",""
"-66.10","45.51","OAK POINT","8103780","2013-01-17","2013","01","17","†","4.3","","-12.2","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
