"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-74.07","45.50","OKA","7015730","2012-01-01","2012","01","01","","5.0","","","M","","M","","M","","M","1.6","","0.0","","1.6","","10","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-02","2012","01","02","","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-03","2012","01","03","","","M","-17.0","","","M","","M","","M","0.0","","0.0","","0.0","","8","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-04","2012","01","04","","-7.0","","-21.0","","-14.0","","32.0","","0.0","","0.0","","2.0","","2.0","","8","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-05","2012","01","05","","-4.0","","-12.0","","-8.0","","26.0","","0.0","","0.0","","2.0","","2.0","","10","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-06","2012","01","06","","","M","-14.0","","","M","","M","","M","0.0","","1.8","","1.8","","10","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-07","2012","01","07","","0.0","","-11.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-08","2012","01","08","","-7.0","","","M","","M","","M","","M","0.0","","0.4","","0.4","","8","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-09","2012","01","09","","3.0","","-12.0","","-4.5","","22.5","","0.0","","","M","1.2","","","M","8","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-10","2012","01","10","","2.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","10","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-11","2012","01","11","","-8.0","","-16.0","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-12","2012","01","12","","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","T","9.6","","9.6","","10","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-13","2012","01","13","","-3.0","","-8.0","","-5.5","","23.5","","0.0","","0.0","","10.2","","10.2","","20","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-14","2012","01","14","","","M","-20.0","","","M","","M","","M","0.0","","0.0","","0.0","","26","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-15","2012","01","15","","-16.0","","-25.0","","-20.5","","38.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-16","2012","01","16","","-8.0","","-22.0","","-15.0","","33.0","","0.0","","0.0","T","1.4","","1.4","","26","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-17","2012","01","17","","","M","-16.0","","","M","","M","","M","0.0","C","5.0","E","","M","26","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-18","2012","01","18","","-10.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-19","2012","01","19","","-4.0","","-20.0","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","30","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-20","2012","01","20","","-13.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-21","2012","01","21","","","M","-20.0","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-22","2012","01","22","","-5.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-23","2012","01","23","","5.0","","-14.0","","-4.5","","22.5","","0.0","","7.0","","0.0","","7.0","","30","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-24","2012","01","24","","3.0","","1.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-25","2012","01","25","","-5.0","","-7.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-26","2012","01","26","","","M","-14.0","","","M","","M","","M","2.8","E","2.2","","5.0","E","20","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-27","2012","01","27","","","M","-8.0","","","M","","M","","M","11.2","E","4.2","","15.4","E","20","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-28","2012","01","28","","3.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","20","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-29","2012","01","29","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","22","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-30","2012","01","30","","-7.0","","","M","","M","","M","","M","0.0","","1.0","","1.0","","22","","","","",""
"-74.07","45.50","OKA","7015730","2012-01-31","2012","01","31","","","M","-12.0","","","M","","M","","M","4.7","","6.4","","11.1","","22","","","","",""
"-74.07","45.50","OKA","7015730","2012-02-01","2012","02","01","","-2.0","","-10.0","","-6.0","","24.0","","0.0","","0.0","T","","M","","M","28","","","","",""
"-74.07","45.50","OKA","7015730","2012-02-02","2012","02","02","","-4.0","","-8.0","","-6.0","","24.0","","0.0","","0.0","","0.8","","0.8","","30","","","","",""
"-74.07","45.50","OKA","7015730","2012-02-03","2012","02","03","","","M","-14.0","","","M","","M","","M","0.0","","0.0","T","0.0","T","32","","","","",""
