"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.08","51.76","OLDS AGDM","3024925","2014-01-01","2014","01","01","","-2.4","","-11.6","","-7.0","","25.0","","0.0","","","M","","M","2.2","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-02","2014","01","02","","2.9","","-12.2","","-4.7","","22.7","","0.0","","","M","","M","1.1","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-03","2014","01","03","","-1.5","","-14.2","","-7.9","","25.9","","0.0","","","M","","M","6.0","","","","33","","52",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-04","2014","01","04","","-14.2","","-24.0","","-19.1","","37.1","","0.0","","","M","","M","2.5","","","","32","","50",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-05","2014","01","05","","-17.9","","-30.8","","-24.4","","42.4","","0.0","","","M","","M","3.6","","","","31","","48",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-06","2014","01","06","","-0.6","","-21.7","","-11.2","","29.2","","0.0","","","M","","M","1.2","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-07","2014","01","07","","-3.2","","-11.7","","-7.5","","25.5","","0.0","","","M","","M","0.4","","","","14","","39",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-08","2014","01","08","","1.5","","-15.4","","-7.0","","25.0","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-09","2014","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-10","2014","01","10","","0.3","","-10.6","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-11","2014","01","11","","6.1","","-11.0","","-2.5","","20.5","","0.0","","","M","","M","0.6","","","","25","","67",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-12","2014","01","12","","-0.3","","-9.2","","-4.8","","22.8","","0.0","","","M","","M","1.9","","","","34","","39",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-13","2014","01","13","","2.7","","-5.5","","-1.4","","19.4","","0.0","","","M","","M","1.1","","","","33","","59",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-14","2014","01","14","","6.6","","-9.6","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","22","","43",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-15","2014","01","15","","8.3","","-3.2","","2.6","","15.4","","0.0","","","M","","M","0.0","","","","30","","70",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-16","2014","01","16","","4.7","","-6.9","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-17","2014","01","17","","5.8","","-4.1","","0.9","","17.1","","0.0","","","M","","M","0.0","","","","33","","33",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-18","2014","01","18","","8.9","","-4.5","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","28","","56",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-19","2014","01","19","","5.0","","-5.7","","-0.4","","18.4","","0.0","","","M","","M","0.0","","","","31","","46",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-20","2014","01","20","","-1.0","","-10.3","","-5.7","","23.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-21","2014","01","21","","0.5","","-6.1","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-22","2014","01","22","","-1.2","","-8.8","","-5.0","","23.0","","0.0","","","M","","M","0.0","","","","13","","33",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-23","2014","01","23","","5.4","","-5.4","","0.0","","18.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-24","2014","01","24","","9.4","","1.3","","5.4","","12.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-25","2014","01","25","","8.1","","-0.2","","4.0","","14.0","","0.0","","","M","","M","0.0","","","","32","","59",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-26","2014","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-27","2014","01","27","","-9.2","","-21.6","","-15.4","","33.4","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-28","2014","01","28","","1.3","","-19.0","","-8.9","","26.9","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-29","2014","01","29","","-2.9","","-14.4","","-8.7","","26.7","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-30","2014","01","30","","-11.5","","-20.7","","-16.1","","34.1","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-01-31","2014","01","31","","-8.7","","-20.5","","-14.6","","32.6","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-01","2014","02","01","","-9.4","","-19.3","","-14.4","","32.4","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-02","2014","02","02","","-9.1","","-15.0","","-12.1","","30.1","","0.0","","","M","","M","0.0","","","","33","","43",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-03","2014","02","03","","-13.5","","-21.3","","-17.4","","35.4","","0.0","","","M","","M","1.8","","","","1","","41",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-04","2014","02","04","","-20.3","","-27.1","","-23.7","","41.7","","0.0","","","M","","M","1.5","","","","33","","33",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-05","2014","02","05","","-19.0","","-31.0","","-25.0","","43.0","","0.0","","","M","","M","1.6","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-06","2014","02","06","","-12.0","","-27.8","","-19.9","","37.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-07","2014","02","07","","-15.3","","-24.9","","-20.1","","38.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-08","2014","02","08","","-16.3","","-27.5","","-21.9","","39.9","","0.0","","","M","","M","1.2","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-09","2014","02","09","","-23.0","","-31.2","","-27.1","","45.1","","0.0","","","M","","M","2.1","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-10","2014","02","10","","-17.8","","-30.2","","-24.0","","42.0","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-11","2014","02","11","","-14.4","","-24.7","","-19.6","","37.6","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-12","2014","02","12","","-11.7","","-21.3","","-16.5","","34.5","","0.0","","","M","","M","","M","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-13","2014","02","13","","-4.2","","-19.0","","-11.6","","29.6","","0.0","","","M","","M","0.7","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-14","2014","02","14","","-2.1","","-9.5","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-15","2014","02","15","","-2.5","","-10.3","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-16","2014","02","16","","3.1","","-9.3","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","26","","56",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-17","2014","02","17","","6.1","","-8.5","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","28","","48",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-18","2014","02","18","","0.9","","-11.6","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","15","","35",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-19","2014","02","19","","-0.9","","-9.7","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","33","","44",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-20","2014","02","20","","-1.0","","-12.3","","-6.7","","24.7","","0.0","","","M","","M","0.0","","","","29","","32",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-21","2014","02","21","","-5.8","","-19.5","","-12.7","","30.7","","0.0","","","M","","M","0.0","","","","31","","48",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-22","2014","02","22","","-13.7","","-22.2","","-18.0","","36.0","","0.0","","","M","","M","1.6","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-23","2014","02","23","","-18.7","","-27.6","","-23.2","","41.2","","0.0","","","M","","M","1.1","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-24","2014","02","24","","-10.5","","-28.6","","-19.6","","37.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-25","2014","02","25","","-10.0","","-24.9","","-17.5","","35.5","","0.0","","","M","","M","0.5","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-26","2014","02","26","","-4.1","","-16.1","","-10.1","","28.1","","0.0","","","M","","M","0.7","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-27","2014","02","27","","-3.8","","-21.7","","-12.8","","30.8","","0.0","","","M","","M","0.6","","","","34","","61",""
"-114.08","51.76","OLDS AGDM","3024925","2014-02-28","2014","02","28","","-16.4","","-30.4","","-23.4","","41.4","","0.0","","","M","","M","2.0","","","","33","","65",""
"-114.08","51.76","OLDS AGDM","3024925","2014-03-01","2014","03","01","","-26.5","","-35.5","","-31.0","","49.0","","0.0","","","M","","M","2.3","","","","","","<31",""
"-114.08","51.76","OLDS AGDM","3024925","2014-03-02","2014","03","02","","-23.7","","-37.0","","-30.4","","48.4","","0.0","","","M","","M","2.9","","","","13","","44",""
