"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-01","2011","01","01","","-8.6","","-13.6","","-11.1","","29.1","","0.0","","","M","","M","","M","10","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-02","2011","01","02","","-5.2","","-11.4","","-8.3","","26.3","","0.0","","","M","","M","","M","8","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-03","2011","01","03","","-4.9","","-11.8","","-8.4","","26.4","","0.0","","","M","","M","","M","8","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-04","2011","01","04","","-2.5","","-9.3","","-5.9","","23.9","","0.0","","","M","","M","","M","8","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-05","2011","01","05","","2.4","","-3.4","","-0.5","","18.5","","0.0","","","M","","M","","M","8","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-06","2011","01","06","","7.3","","-4.6","","1.4","","16.6","","0.0","","","M","","M","","M","7","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-07","2011","01","07","","7.5","","-6.5","","0.5","","17.5","","0.0","","","M","","M","","M","5","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-08","2011","01","08","","2.4","","-12.3","","-5.0","","23.0","","0.0","","","M","","M","","M","5","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-09","2011","01","09","","-12.3","","-17.5","","-14.9","","32.9","","0.0","","","M","","M","","M","14","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-10","2011","01","10","","-15.6","","-27.7","","-21.7","","39.7","","0.0","","","M","","M","","M","12","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-11","2011","01","11","","-10.9","","-28.6","","-19.8","","37.8","","0.0","","","M","","M","","M","12","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-12","2011","01","12","","0.4","","-21.3","","-10.5","","28.5","","0.0","","","M","","M","","M","10","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-13","2011","01","13","","-19.9","","-22.8","","-21.4","","39.4","","0.0","","","M","","M","","M","13","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-14","2011","01","14","","-20.0","","-22.4","","-21.2","","39.2","","0.0","","","M","","M","","M","13","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-15","2011","01","15","","3.2","","-22.6","","-9.7","","27.7","","0.0","","","M","","M","","M","14","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-16","2011","01","16","","6.5","","-20.2","","-6.9","","24.9","","0.0","","","M","","M","","M","13","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-17","2011","01","17","","5.4","","-20.2","","-7.4","","25.4","","0.0","","","M","","M","","M","12","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-18","2011","01","18","","-3.9","","-19.5","","-11.7","","29.7","","0.0","","","M","","M","","M","17","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-19","2011","01","19","","-1.8","","-18.8","","-10.3","","28.3","","0.0","","","M","","M","","M","17","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-20","2011","01","20","","0.1","","-6.6","","-3.3","","21.3","","0.0","","","M","","M","","M","12","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-21","2011","01","21","","4.0","","-2.5","","0.8","","17.2","","0.0","","","M","","M","","M","12","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-22","2011","01","22","","3.7","","-2.8","","0.5","","17.5","","0.0","","","M","","M","","M","12","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-23","2011","01","23","","4.9","","-4.3","","0.3","","17.7","","0.0","","","M","","M","","M","11","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-24","2011","01","24","","4.5","","-3.3","","0.6","","17.4","","0.0","","","M","","M","","M","11","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-25","2011","01","25","","6.9","","-0.4","","3.3","","14.7","","0.0","","","M","","M","","M","10","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-26","2011","01","26","","6.8","","2.8","","4.8","","13.2","","0.0","","","M","","M","","M","9","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-27","2011","01","27","","11.0","","2.7","","6.9","","11.1","","0.0","","","M","","M","","M","1","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-28","2011","01","28","","6.7","","-4.3","","1.2","","16.8","","0.0","","","M","","M","","M","1","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-29","2011","01","29","","-4.3","","-18.5","","-11.4","","29.4","","0.0","","","M","","M","","M","3","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-30","2011","01","30","","-18.5","","-31.7","","-25.1","","43.1","","0.0","","","M","","M","","M","20","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-01-31","2011","01","31","","-16.0","","-31.9","","-24.0","","42.0","","0.0","","","M","","M","","M","18","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-01","2011","02","01","","-6.8","","-31.0","","-18.9","","36.9","","0.0","","","M","","M","","M","17","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-02","2011","02","02","","-2.1","","-11.6","","-6.9","","24.9","","0.0","","","M","","M","","M","5","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-03","2011","02","03","","2.1","","-6.0","","-2.0","","20.0","","0.0","","","M","","M","","M","4","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-04","2011","02","04","","6.4","","-0.2","","3.1","","14.9","","0.0","","","M","","M","","M","4","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-05","2011","02","05","","4.7","","-7.5","","-1.4","","19.4","","0.0","","","M","","M","","M","1","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-06","2011","02","06","","-7.5","","-13.3","","-10.4","","28.4","","0.0","","","M","","M","","M","5","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-07","2011","02","07","","-12.5","","-21.6","","-17.1","","35.1","","0.0","","","M","","M","","M","9","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-08","2011","02","08","","-6.2","","-22.7","","-14.5","","32.5","","0.0","","","M","","M","","M","11","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-09","2011","02","09","","-3.7","","-11.5","","-7.6","","25.6","","0.0","","","M","","M","","M","8","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-10","2011","02","10","","1.9","","-4.5","","-1.3","","19.3","","0.0","","","M","","M","","M","4","","","M","","M"
"-114.00","49.52","PINCHER CREEK CLIMATE","3035208","2011-02-11","2011","02","11","","5.7","","-0.2","","2.8","","15.2","","0.0","","","M","","M","","M","3","","","M","","M"
