"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.60","52.43","PRENTISS","3025297","2011-01-01","2011","01","01","","-2.0","","-16.2","","-9.1","","27.1","","0.0","","","M","","M","0.8","","","","32","","43",""
"-113.60","52.43","PRENTISS","3025297","2011-01-02","2011","01","02","","-2.2","","-9.4","","-5.8","","23.8","","0.0","","","M","","M","","M","","","","","<31",""
"-113.60","52.43","PRENTISS","3025297","2011-01-03","2011","01","03","","-4.3","","-10.8","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-113.60","52.43","PRENTISS","3025297","2011-01-04","2011","01","04","","-0.6","","-9.9","","-5.3","","23.3","","0.0","","","M","","M","2.5","","","","","","<31",""
"-113.60","52.43","PRENTISS","3025297","2011-01-05","2011","01","05","","3.5","","-4.6","","-0.6","","18.6","","0.0","","","M","","M","1.9","","","","25","","33",""
"-113.60","52.43","PRENTISS","3025297","2011-01-06","2011","01","06","","4.1","","-6.5","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","34","","44",""
"-113.60","52.43","PRENTISS","3025297","2011-01-07","2011","01","07","","-3.5","","-10.0","","-6.8","","24.8","","0.0","","","M","","M","","M","","","","","<31",""
"-113.60","52.43","PRENTISS","3025297","2011-01-08","2011","01","08","","-5.6","","-15.2","","-10.4","","28.4","","0.0","","","M","","M","","M","","","","","<31",""
"-113.60","52.43","PRENTISS","3025297","2011-01-09","2011","01","09","","","M","-16.6","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-113.60","52.43","PRENTISS","3025297","2011-01-10","2011","01","10","","-16.8","","-23.1","","-20.0","","38.0","","0.0","","","M","","M","","M","","","","","<31",""
