"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.51","53.03","QUESNEL","1096629","2017-01-01","2017","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2017-01-02","2017","01","02","","-10.7","","-23.6","","-17.2","","35.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-03","2017","01","03","","-16.0","","-22.7","","-19.4","","37.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-04","2017","01","04","","-10.5","","-16.7","","-13.6","","31.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-05","2017","01","05","","-7.9","","-10.5","","-9.2","","27.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-06","2017","01","06","","-7.0","","-9.6","","-8.3","","26.3","","0.0","","","M","","M","2.4","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-07","2017","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2017-01-08","2017","01","08","","-14.6","","-22.3","","-18.5","","36.5","","0.0","","","M","","M","0.0","","","","34","","37",""
"-122.51","53.03","QUESNEL","1096629","2017-01-09","2017","01","09","","-10.4","","-18.2","","-14.3","","32.3","","0.0","","","M","","M","5.2","","","","32","","35",""
"-122.51","53.03","QUESNEL","1096629","2017-01-10","2017","01","10","","-17.0","","-30.0","","-23.5","","41.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-11","2017","01","11","","-19.0","","-27.7","","-23.4","","41.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-12","2017","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2017-01-13","2017","01","13","","-11.3","","-22.3","","-16.8","","34.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-14","2017","01","14","","-3.6","","-11.5","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","14","","41",""
"-122.51","53.03","QUESNEL","1096629","2017-01-15","2017","01","15","","-1.1","","-4.8","","-3.0","","21.0","","0.0","","","M","","M","0.0","","","","15","","46",""
"-122.51","53.03","QUESNEL","1096629","2017-01-16","2017","01","16","","5.6","","-3.6","","1.0","","17.0","","0.0","","","M","","M","0.8","","","","16","","50",""
"-122.51","53.03","QUESNEL","1096629","2017-01-17","2017","01","17","","8.1","","2.6","","5.4","","12.6","","0.0","","","M","","M","2.5","","","","16","","54",""
"-122.51","53.03","QUESNEL","1096629","2017-01-18","2017","01","18","","7.2","","3.8","","5.5","","12.5","","0.0","","","M","","M","0.0","","","","15","","41",""
"-122.51","53.03","QUESNEL","1096629","2017-01-19","2017","01","19","","6.4","","0.1","","3.3","","14.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-20","2017","01","20","","5.0","","-3.3","","0.9","","17.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-21","2017","01","21","","1.7","","-3.7","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-22","2017","01","22","","0.4","","-3.4","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-23","2017","01","23","","-0.4","","-8.0","","-4.2","","22.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-24","2017","01","24","","-3.9","","-10.1","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-25","2017","01","25","","1.0","","-5.4","","-2.2","","20.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-01-26","2017","01","26","","3.2","","-8.2","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","15","","37",""
"-122.51","53.03","QUESNEL","1096629","2017-01-27","2017","01","27","","4.0","","-3.8","","0.1","","17.9","","0.0","","","M","","M","0.0","","","","15","","33",""
"-122.51","53.03","QUESNEL","1096629","2017-01-28","2017","01","28","","9.5","","2.7","","6.1","","11.9","","0.0","","","M","","M","0.0","","","","14","","37",""
"-122.51","53.03","QUESNEL","1096629","2017-01-29","2017","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2017-01-30","2017","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2017-01-31","2017","01","31","","-2.8","","-11.9","","-7.4","","25.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-01","2017","02","01","","-5.7","","-16.1","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-02","2017","02","02","","-12.1","","-14.9","","-13.5","","31.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-03","2017","02","03","","-6.5","","-13.2","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","32","","39",""
"-122.51","53.03","QUESNEL","1096629","2017-02-04","2017","02","04","","-7.9","","-12.6","","-10.3","","28.3","","0.0","","","M","","M","0.0","","","","34","","37",""
"-122.51","53.03","QUESNEL","1096629","2017-02-05","2017","02","05","","-9.4","","-15.1","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","32","","37",""
"-122.51","53.03","QUESNEL","1096629","2017-02-06","2017","02","06","","-10.3","","-20.4","","-15.4","","33.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-07","2017","02","07","","-12.6","","-22.5","","-17.6","","35.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-08","2017","02","08","","-11.1","","-24.2","","-17.7","","35.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-09","2017","02","09","","-10.9","","-17.1","","-14.0","","32.0","","0.0","","","M","","M","1.9","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-10","2017","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2017-02-11","2017","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-122.51","53.03","QUESNEL","1096629","2017-02-12","2017","02","12","","5.0","","-1.6","","1.7","","16.3","","0.0","","","M","","M","0.0","","","","13","","35",""
"-122.51","53.03","QUESNEL","1096629","2017-02-13","2017","02","13","","8.4","","-0.9","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-122.51","53.03","QUESNEL","1096629","2017-02-14","2017","02","14","","8.5","","-3.2","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","15","","46",""
