"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER A","3025480","2014-01-01","2014","01","01","","-3.5","","-16.1","","-9.8","","27.8","","0.0","","0.0","","0.4","","0.4","","60","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-02","2014","01","02","","-1.5","","-10.4","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","60","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-03","2014","01","03","","-0.5","","-15.0","","-7.8","","25.8","","0.0","","0.0","","7.6","","6.8","","65","","2","","46",""
"-113.89","52.18","RED DEER A","3025480","2014-01-04","2014","01","04","","-15.0","","-26.1","","-20.6","","38.6","","0.0","","0.0","","0.4","","0.2","","66","","35","","43",""
"-113.89","52.18","RED DEER A","3025480","2014-01-05","2014","01","05","","-20.2","","-36.4","","-28.3","","46.3","","0.0","","0.0","","0.0","","0.0","","66","","36","","33",""
"-113.89","52.18","RED DEER A","3025480","2014-01-06","2014","01","06","","-1.0","","-20.6","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","66","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-07","2014","01","07","","-2.5","","-10.5","","-6.5","","24.5","","0.0","","0.0","","0.6","","0.4","","65","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-08","2014","01","08","","-9.6","","-17.6","","-13.6","","31.6","","0.0","","0.0","","0.0","T","0.0","T","65","","18","","33",""
"-113.89","52.18","RED DEER A","3025480","2014-01-09","2014","01","09","","-3.0","","-16.5","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","65","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-10","2014","01","10","","-1.3","","-16.8","","-9.1","","27.1","","0.0","","0.0","","0.0","T","0.0","T","63","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-11","2014","01","11","","6.6","","-12.0","","-2.7","","20.7","","0.0","","0.0","","0.4","","0.4","","60","","32","","44",""
"-113.89","52.18","RED DEER A","3025480","2014-01-12","2014","01","12","","-2.5","","-8.3","","-5.4","","23.4","","0.0","","0.0","","1.0","","0.8","","59","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-13","2014","01","13","","1.1","","-5.7","","-2.3","","20.3","","0.0","","0.0","","3.2","","3.2","","55","","2","","46",""
"-113.89","52.18","RED DEER A","3025480","2014-01-14","2014","01","14","","5.9","","-9.8","","-2.0","","20.0","","0.0","","0.0","T","0.0","","0.0","T","56","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-15","2014","01","15","","8.7","","-5.3","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","50","","30","","65",""
"-113.89","52.18","RED DEER A","3025480","2014-01-16","2014","01","16","","0.0","","-9.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","50","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-17","2014","01","17","","5.8","","-9.1","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","50","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-18","2014","01","18","","8.0","","-12.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","50","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-19","2014","01","19","","4.4","","-9.7","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","48","","30","","33",""
"-113.89","52.18","RED DEER A","3025480","2014-01-20","2014","01","20","","-0.6","","-14.9","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","45","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-21","2014","01","21","","1.5","","-7.9","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","44","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-22","2014","01","22","","-3.9","","-8.4","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","44","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-23","2014","01","23","","4.3","","-12.6","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","44","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-24","2014","01","24","","9.4","","-4.4","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","43","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-25","2014","01","25","","9.0","","-6.8","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","40","","31","","56",""
"-113.89","52.18","RED DEER A","3025480","2014-01-26","2014","01","26","","4.4","","-21.5","","-8.6","","26.6","","0.0","","0.0","","0.0","T","0.0","T","37","","33","","76",""
"-113.89","52.18","RED DEER A","3025480","2014-01-27","2014","01","27","","-13.4","","-27.0","","-20.2","","38.2","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-28","2014","01","28","","-1.9","","-22.2","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-29","2014","01","29","","-3.8","","-14.0","","-8.9","","26.9","","0.0","","0.0","","5.0","","4.4","","36","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-01-30","2014","01","30","","-12.8","","-25.6","","-19.2","","37.2","","0.0","","0.0","","0.8","","0.4","","41","","34","","33",""
"-113.89","52.18","RED DEER A","3025480","2014-01-31","2014","01","31","","-8.4","","-24.7","","-16.6","","34.6","","0.0","","0.0","","0.8","","0.8","","40","","33","","44",""
"-113.89","52.18","RED DEER A","3025480","2014-02-01","2014","02","01","","-10.6","","-21.6","","-16.1","","34.1","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-02-02","2014","02","02","","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-02-03","2014","02","03","","-12.0","","-20.8","","-16.4","","34.4","","0.0","","0.0","","0.8","","0.6","","40","","2","E","46","E"
"-113.89","52.18","RED DEER A","3025480","2014-02-04","2014","02","04","","-18.7","","-29.1","","-23.9","","41.9","","0.0","","0.0","","0.0","T","0.0","T","41","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-02-05","2014","02","05","","-22.8","","-33.9","","-28.4","","46.4","","0.0","","0.0","","0.0","T","0.0","T","41","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-02-06","2014","02","06","","-16.4","","-32.9","","-24.7","","42.7","","0.0","","0.0","","0.0","","0.0","","41","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2014-02-07","2014","02","07","","-13.5","","-31.9","","-22.7","","40.7","","0.0","","0.0","","0.4","","0.4","","41","","","","<31",""
