"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.80","50.94","RED LAKE","1166658","2009-01-01","2009","01","01","†","-6.0","","-11.0","","-8.5","","26.5","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-02","2009","01","02","†","-10.0","","-16.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-03","2009","01","03","†","-14.0","","-19.0","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-04","2009","01","04","†","-7.0","","-17.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-05","2009","01","05","†","-3.0","","-11.5","","-7.3","","25.3","","0.0","","0.0","","0.5","","0.5","","30","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-06","2009","01","06","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","8.5","","8.5","","29","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-07","2009","01","07","†","3.5","","-2.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-08","2009","01","08","†","2.5","","-2.0","","0.3","","17.7","","0.0","","0.0","","10.5","","10.5","","28","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-09","2009","01","09","†","-4.0","","-10.5","","-7.3","","25.3","","0.0","","0.0","","4.0","","4.0","","36","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-10","2009","01","10","†","-2.5","","-6.0","","-4.3","","22.3","","0.0","","0.0","","10.0","","10.0","","34","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-11","2009","01","11","†","1.5","","-5.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-12","2009","01","12","†","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-120.80","50.94","RED LAKE","1166658","2009-01-13","2009","01","13","†","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
