"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-95.53","49.85","RENNIE","5032360","2013-01-01","2013","01","01","†","-7.0","","","M","","M","","M","","M","0.0","","5.0","","5.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-02","2013","01","02","†","-7.5","","-27.5","","-17.5","","35.5","","0.0","","0.0","","0.4","","0.4","","22","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-03","2013","01","03","†","-4.0","","-24.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-04","2013","01","04","†","","M","-17.0","","","M","","M","","M","","","","","","","22","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-05","2013","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-06","2013","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-07","2013","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-08","2013","01","08","†","0.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-09","2013","01","09","†","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","25","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-10","2013","01","10","†","","M","-6.0","","","M","","M","","M","","","","","","","24","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-11","2013","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-12","2013","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-13","2013","01","13","†","6.5","","","M","","M","","M","","M","0.0","","","M","0.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-14","2013","01","14","†","","M","-35.0","","","M","","M","","M","","","","","","","36","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-15","2013","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-16","2013","01","16","†","-18.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-17","2013","01","17","†","-18.0","","-31.0","","-24.5","","42.5","","0.0","","0.0","","2.0","","2.0","","33","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-18","2013","01","18","†","","M","-32.0","","","M","","M","","M","","","","","","","35","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-19","2013","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-20","2013","01","20","†","-13.0","","","M","","M","","M","","M","0.0","","2.0","","2.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-21","2013","01","21","†","-24.0","","-34.0","","-29.0","","47.0","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-22","2013","01","22","†","-18.0","","-39.0","","-28.5","","46.5","","0.0","","0.0","","0.0","T","0.0","T","37","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-23","2013","01","23","†","-20.5","","-37.0","","-28.8","","46.8","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-24","2013","01","24","†","-18.5","","-40.5","","-29.5","","47.5","","0.0","","0.0","","10.0","","10.0","","39","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-25","2013","01","25","†","","M","-30.5","","","M","","M","","M","","","","","","","47","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-26","2013","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-27","2013","01","27","†","-4.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-28","2013","01","28","†","-3.5","","-32.0","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","44","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-29","2013","01","29","†","-7.0","","-7.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","44","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-30","2013","01","30","†","-13.0","","-18.0","","-15.5","","33.5","","0.0","","0.0","","1.0","","1.0","","44","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-01-31","2013","01","31","†","-23.5","","-24.0","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-01","2013","02","01","†","","M","-39.0","","","M","","M","","M","","","","","","","45","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-02","2013","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-03","2013","02","03","†","-16.5","","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-04","2013","02","04","†","-12.0","","-39.0","","-25.5","","43.5","","0.0","","0.0","","7.0","","7.0","","44","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-05","2013","02","05","†","-14.0","","-33.5","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","51","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-06","2013","02","06","†","-9.5","","-30.5","","-20.0","","38.0","","0.0","","0.0","","0.0","T","0.0","T","50","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-07","2013","02","07","†","-5.0","","-25.5","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-08","2013","02","08","†","","M","-26.0","","","M","","M","","M","","","","","","","0","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-09","2013","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-10","2013","02","10","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-11","2013","02","11","†","","M","-17.0","","","M","","M","","M","0.0","","0.0","","0.0","","44","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-12","2013","02","12","†","","M","-16.0","","","M","","M","","M","0.0","","0.0","","0.0","","44","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-13","2013","02","13","†","","M","-18.0","","","M","","M","","M","0.0","","0.0","","0.0","","44","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-14","2013","02","14","†","","M","-19.5","","","M","","M","","M","0.0","","0.0","","0.0","","43","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-15","2013","02","15","†","","M","-25.0","","","M","","M","","M","","","","","","","43","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-16","2013","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-17","2013","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-18","2013","02","18","†","","M","","M","","M","","M","","M","0.0","","7.0","","7.0","","","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-19","2013","02","19","†","","M","-31.5","","","M","","M","","M","0.0","","0.0","","0.0","","50","","","","",""
"-95.53","49.85","RENNIE","5032360","2013-02-20","2013","02","20","†","","M","-33.0","","","M","","M","","M","0.0","","0.0","","0.0","","50","","","","",""
