"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-101.55","50.47","ROCANVILLE","4016842","2008-01-01","2008","01","01","†","12.0","","-25.0","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-02","2008","01","02","†","-3.0","","-26.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-03","2008","01","03","†","0.5","","-12.0","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-04","2008","01","04","†","4.0","","-8.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-05","2008","01","05","†","2.0","","-5.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-06","2008","01","06","†","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-07","2008","01","07","†","-2.0","","-12.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-08","2008","01","08","†","-7.0","","-13.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-09","2008","01","09","†","-8.5","","-16.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-10","2008","01","10","†","-9.0","","-14.5","","-11.8","","29.8","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-11","2008","01","11","†","-9.5","","-17.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-12","2008","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-13","2008","01","13","†","-11.0","","-16.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-14","2008","01","14","†","-9.5","","-25.0","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-15","2008","01","15","†","-2.5","","-17.0","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-16","2008","01","16","†","-9.0","","-22.0","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-17","2008","01","17","†","-9.0","","-20.0","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-18","2008","01","18","†","-22.0","","-28.0","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-19","2008","01","19","†","-19.0","","-30.0","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-20","2008","01","20","†","-19.5","","-30.0","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-21","2008","01","21","†","-12.0","","-25.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-22","2008","01","22","†","-14.0","","-19.0","","-16.5","","34.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-23","2008","01","23","†","-13.5","","-25.0","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-24","2008","01","24","†","-12.0","","-27.0","","-19.5","","37.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-25","2008","01","25","†","-10.0","","-16.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-26","2008","01","26","†","-10.0","","-22.0","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-27","2008","01","27","†","3.5","","-22.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-28","2008","01","28","†","-9.0","","-18.0","","-13.5","","31.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-29","2008","01","29","†","-27.0","","-31.5","","-29.3","","47.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-30","2008","01","30","†","-26.0","","-34.0","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-01-31","2008","01","31","†","-12.5","","-35.0","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-01","2008","02","01","†","-15.5","","-20.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-02","2008","02","02","†","-16.0","","-26.0","","-21.0","","39.0","","0.0","","0.0","","5.0","","5.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-03","2008","02","03","†","-10.0","","-20.0","","-15.0","","33.0","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-04","2008","02","04","†","-14.0","","-25.0","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-05","2008","02","05","†","-16.0","","-30.0","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-06","2008","02","06","†","-1.5","","-21.0","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-07","2008","02","07","†","-2.5","","-15.5","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-08","2008","02","08","†","-11.0","","-17.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-09","2008","02","09","†","-24.0","","-31.0","","-27.5","","45.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-10","2008","02","10","†","-25.0","","-34.0","","-29.5","","47.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-11","2008","02","11","†","-13.0","","-34.5","","-23.8","","41.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-12","2008","02","12","†","-9.0","","-17.5","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-13","2008","02","13","†","-20.0","","-23.0","","-21.5","","39.5","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-14","2008","02","14","†","-20.5","","-31.5","","-26.0","","44.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-15","2008","02","15","†","-5.0","","-22.0","","-13.5","","31.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-16","2008","02","16","†","2.0","","-13.0","","-5.5","","23.5","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-17","2008","02","17","†","-5.0","","-16.0","","-10.5","","28.5","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-18","2008","02","18","†","-17.0","","-29.0","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-19","2008","02","19","†","-20.0","","-28.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-20","2008","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-21","2008","02","21","†","-6.5","","-29.0","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-22","2008","02","22","†","-4.5","","-16.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-23","2008","02","23","†","0.0","","-18.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-24","2008","02","24","†","0.0","","-18.0","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-25","2008","02","25","†","-4.5","","-12.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-26","2008","02","26","†","-3.0","","-13.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-27","2008","02","27","†","-2.0","","-12.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-28","2008","02","28","†","1.0","","-7.0","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-02-29","2008","02","29","†","-7.0","","-14.5","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-01","2008","03","01","†","-1.0","","-12.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-02","2008","03","02","†","-3.0","","-15.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-03","2008","03","03","†","-13.5","","-21.5","","-17.5","","35.5","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-04","2008","03","04","†","-11.0","","-16.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-05","2008","03","05","†","-11.5","","-22.5","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-06","2008","03","06","†","-17.0","","-28.0","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-07","2008","03","07","†","3.5","","-26.0","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-08","2008","03","08","†","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-09","2008","03","09","†","-3.0","","-19.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-10","2008","03","10","†","6.0","","-13.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-11","2008","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-12","2008","03","12","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-13","2008","03","13","†","5.0","","-3.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-14","2008","03","14","†","-2.0","","-11.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-15","2008","03","15","†","-1.0","","-11.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-16","2008","03","16","†","3.0","","-10.5","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-17","2008","03","17","†","2.5","","-8.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-18","2008","03","18","†","4.5","","-5.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-19","2008","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-20","2008","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-21","2008","03","21","†","1.0","","-2.0","","-0.5","","18.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-22","2008","03","22","†","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-23","2008","03","23","†","1.5","","-14.0","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-24","2008","03","24","†","6.5","","-3.5","","1.5","","16.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-25","2008","03","25","†","4.0","","-11.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-26","2008","03","26","†","-0.5","","-13.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-27","2008","03","27","†","0.0","","-9.0","","-4.5","","22.5","","0.0","","0.0","","12.0","","12.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-28","2008","03","28","†","0.5","","-8.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-29","2008","03","29","†","0.5","","-3.5","","-1.5","","19.5","","0.0","","0.0","","8.0","","8.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-30","2008","03","30","†","-0.5","","-4.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-03-31","2008","03","31","†","1.0","","-15.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-01","2008","04","01","†","3.5","","-11.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-02","2008","04","02","†","5.0","","-5.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-03","2008","04","03","†","8.0","","-5.0","","1.5","","16.5","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-04","2008","04","04","†","4.0","","-4.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-05","2008","04","05","†","-3.0","","-12.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-06","2008","04","06","†","4.0","","-9.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-07","2008","04","07","†","9.5","","-5.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-08","2008","04","08","†","12.5","","-0.5","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-09","2008","04","09","†","12.0","","-1.0","","5.5","","12.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-10","2008","04","10","†","11.0","","2.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-11","2008","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-12","2008","04","12","†","10.0","","-1.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-13","2008","04","13","†","16.5","","-1.5","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-14","2008","04","14","†","26.5","","-1.5","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-15","2008","04","15","†","14.0","","7.0","","10.5","","7.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-16","2008","04","16","†","9.5","","0.5","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-101.55","50.47","ROCANVILLE","4016842","2008-04-17","2008","04","17","†","15.5","","-1.0","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
