"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-01","2012","01","01","","7.9","","-0.6","","3.7","","14.3","","0.0","","","M","","M","2.0","","","","28","","61",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-02","2012","01","02","","0.1","","-7.0","","-3.5","","21.5","","0.0","","","M","","M","0.6","","","","33","","63",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-03","2012","01","03","","-6.9","","-12.5","","-9.7","","27.7","","0.0","","0.0","","","M","0.7","","1","","34","","59",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-04","2012","01","04","","1.3","","-8.9","","-3.8","","21.8","","0.0","","","M","","M","0.0","","1","","32","","37",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-05","2012","01","05","","3.5","","-2.2","","0.7","","17.3","","0.0","","","M","","M","0.0","","1","","21","","37",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-06","2012","01","06","","12.1","","1.9","","7.0","","11.0","","0.0","","","M","","M","0.0","","1","","20","","32",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-07","2012","01","07","","6.5","","0.0","","3.3","","14.7","","0.0","","","M","","M","0.0","","1","","33","","37",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-08","2012","01","08","","2.9","","-2.9","","0.0","","18.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-09","2012","01","09","","4.6","","-4.6","","0.0","","18.0","","0.0","","","M","","M","0.0","","","","22","","37",""
"-82.30","43.00","SARNIA CLIMATE","6127519","2012-01-10","2012","01","10","","6.8","","-1.3","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","","","<31",""
