"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.43","43.00","SCOTLAND","6147664","2010-01-01","2010","01","01","†","-2.5","","-15.5","","-9.0","","27.0","","0.0","","0.0","","1.0","","1.0","","3","","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-02","2010","01","02","†","-10.0","","-15.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-03","2010","01","03","†","-6.5","","-14.5","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-04","2010","01","04","†","-7.0","","-11.5","","-9.3","","27.3","","0.0","","0.0","","2.0","","2.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-05","2010","01","05","†","-4.0","","-12.5","","-8.3","","26.3","","0.0","","0.0","","3.6","","3.6","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-06","2010","01","06","†","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-07","2010","01","07","†","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","7.0","","7.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-08","2010","01","08","†","-4.5","","-10.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-09","2010","01","09","†","-4.5","","-22.0","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-10","2010","01","10","†","-4.0","","-23.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-11","2010","01","11","†","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","2.0","","2.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-12","2010","01","12","†","-3.0","","-11.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-13","2010","01","13","†","-1.0","","-8.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-14","2010","01","14","†","4.0","","-7.0","","-1.5","","19.5","","0.0","","0.5","","0.0","","0.5","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-15","2010","01","15","†","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-16","2010","01","16","†","0.0","","-2.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-17","2010","01","17","†","1.5","","-3.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-18","2010","01","18","†","-2.0","","-5.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-19","2010","01","19","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-20","2010","01","20","†","-0.5","","-8.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-21","2010","01","21","†","1.0","","-9.5","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-22","2010","01","22","†","3.0","","-4.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-23","2010","01","23","†","3.0","","-5.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-24","2010","01","24","†","6.5","","-2.0","","2.3","","15.7","","0.0","","16.2","","0.0","","16.2","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-25","2010","01","25","†","6.0","","-2.0","","2.0","","16.0","","0.0","","3.8","","0.6","","4.4","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-26","2010","01","26","†","-2.0","","-4.5","","-3.3","","21.3","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-27","2010","01","27","†","-4.5","","-7.5","","-6.0","","24.0","","0.0","","0.0","","3.0","","3.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-28","2010","01","28","†","-6.5","","-10.0","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-29","2010","01","29","†","-9.0","","-16.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-80.43","43.00","SCOTLAND","6147664","2010-01-30","2010","01","30","†","-9.0","","-20.5","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
