"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-01","2018","01","01","","-4.8","","-29.4","","-17.1","","35.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-02","2018","01","02","","2.0","","-9.2","","-3.6","","21.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-03","2018","01","03","","3.1","","-8.2","","-2.6","","20.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-04","2018","01","04","","1.4","","-11.7","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-05","2018","01","05","","-6.0","","-14.5","","-10.3","","28.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-06","2018","01","06","","3.4","","-11.2","","-3.9","","21.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-07","2018","01","07","","2.0","","-7.9","","-3.0","","21.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-08","2018","01","08","","-1.2","","-9.3","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-09","2018","01","09","","-5.7","","-23.8","","-14.8","","32.8","","0.0","","","M","","M","0.9","","","","","M","","M"
"-112.54","53.33","SHONTS AGCM","3015900","2018-01-10","2018","01","10","","-22.6","","-27.2","","-24.9","","42.9","","0.0","","","M","","M","0.4","","","","","M","","M"
