"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-01","2015","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-02","2015","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-03","2015","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-04","2015","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-05","2015","01","05","†","-20.0","","-31.5","","-25.8","","43.8","","0.0","","0.0","","1.0","","1.0","","41","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-06","2015","01","06","†","-14.4","","-24.8","","-19.6","","37.6","","0.0","","0.0","","2.2","","2.2","","41","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-07","2015","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-08","2015","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-09","2015","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-10","2015","01","10","†","-7.2","","-11.2","","-9.2","","27.2","","0.0","","0.0","","3.6","","3.6","","45","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-11","2015","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-12","2015","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-13","2015","01","13","†","6.9","","-0.7","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-14","2015","01","14","†","5.0","","1.5","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-15","2015","01","15","†","3.4","","-10.5","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-16","2015","01","16","†","3.9","","-6.0","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-17","2015","01","17","†","4.3","","-0.9","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-18","2015","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-19","2015","01","19","†","3.5","","-2.8","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-20","2015","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-21","2015","01","21","†","8.0","","-10.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-22","2015","01","22","†","8.7","","-1.5","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-23","2015","01","23","†","7.2","","0.6","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-24","2015","01","24","†","7.0","","1.7","","4.4","","13.6","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-25","2015","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-26","2015","01","26","†","2.2","","-2.7","","-0.3","","18.3","","0.0","","0.0","","1.4","","1.4","","32","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-27","2015","01","27","†","-12.0","","-14.9","","-13.5","","31.5","","0.0","","0.0","","8.6","","8.6","","29","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-28","2015","01","28","†","-5.9","","-24.5","","-15.2","","33.2","","0.0","","0.0","","0.8","","0.8","","32","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-29","2015","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-30","2015","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-01-31","2015","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-02-01","2015","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-02-02","2015","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-02-03","2015","02","03","†","-4.5","","-26.3","","-15.4","","33.4","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-02-04","2015","02","04","†","-6.5","","-15.5","","-11.0","","29.0","","0.0","","0.0","","0.4","","0.4","","28","","","","",""
"-122.72","57.25","SIKANNI CHIEF","1187335","2015-02-05","2015","02","05","†","-18.4","","-21.0","","-19.7","","37.7","","0.0","","0.0","","19.8","","19.8","","28","","","","",""
