"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.74","54.42","SIMONETTE","3075937","2012-01-01","2012","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-02","2012","01","02","†","2.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-03","2012","01","03","†","7.0","","-5.0","","1.0","","17.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-04","2012","01","04","†","10.5","","-1.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-05","2012","01","05","†","3.0","","-1.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-06","2012","01","06","†","","M","-7.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-07","2012","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-08","2012","01","08","†","10.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-09","2012","01","09","†","9.0","","1.0","","5.0","","13.0","","0.0","","0.0","","3.0","","3.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-10","2012","01","10","†","-2.0","","-8.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-11","2012","01","11","†","1.0","","-21.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-12","2012","01","12","†","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-13","2012","01","13","†","","M","-3.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-14","2012","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-15","2012","01","15","†","-17.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-16","2012","01","16","†","-28.0","","-28.0","","-28.0","","46.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-17","2012","01","17","†","-28.0","","-40.0","","-34.0","","52.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-18","2012","01","18","†","-27.0","","-37.0","","-32.0","","50.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-19","2012","01","19","†","-16.0","","-31.0","","-23.5","","41.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-20","2012","01","20","†","-15.0","","-30.0","","-22.5","","40.5","","0.0","","0.0","","4.0","","4.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-21","2012","01","21","†","-6.0","","-24.0","","-15.0","","33.0","","0.0","","0.0","","0.0","T","0.0","T","15","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-22","2012","01","22","†","-1.0","","-15.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-23","2012","01","23","†","2.0","","-6.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-24","2012","01","24","†","3.0","","-6.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-25","2012","01","25","†","3.0","","-5.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-26","2012","01","26","†","0.0","","-9.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-27","2012","01","27","†","","M","-8.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-28","2012","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-29","2012","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-30","2012","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-01-31","2012","01","31","†","6.0","","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-01","2012","02","01","†","","M","-6.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-02","2012","02","02","†","10.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-03","2012","02","03","†","","M","-8.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-04","2012","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-05","2012","02","05","†","1.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-06","2012","02","06","†","","M","-18.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-07","2012","02","07","†","1.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-08","2012","02","08","†","","M","-17.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-09","2012","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-10","2012","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-11","2012","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-12","2012","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-13","2012","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-14","2012","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-15","2012","02","15","†","3.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-16","2012","02","16","†","5.0","","-11.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-17","2012","02","17","†","6.0","","-8.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-18","2012","02","18","†","1.0","","-12.0","","-5.5","","23.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-19","2012","02","19","†","1.0","","-10.0","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-20","2012","02","20","†","5.0","","-16.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-21","2012","02","21","†","5.0","","-6.0","","-0.5","","18.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-22","2012","02","22","†","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-23","2012","02","23","†","0.0","","-3.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-24","2012","02","24","†","","M","-11.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-25","2012","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-26","2012","02","26","†","-8.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-27","2012","02","27","†","","M","-18.0","","","M","","M","","M","","","","","","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-28","2012","02","28","†","5.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-02-29","2012","02","29","†","-2.0","","-16.0","","-9.0","","27.0","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-01","2012","03","01","†","-3.0","","-13.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-02","2012","03","02","†","4.0","","-15.0","","-5.5","","23.5","","0.0","","0.0","","16.0","","16.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-03","2012","03","03","†","1.0","","-6.0","","-2.5","","20.5","","0.0","","0.0","","2.5","","2.5","","16","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-04","2012","03","04","†","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","5.0","","5.0","","20","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-05","2012","03","05","†","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-06","2012","03","06","†","2.0","","-13.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-07","2012","03","07","†","6.0","","-8.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-117.74","54.42","SIMONETTE","3075937","2012-03-08","2012","03","08","†","10.0","","0.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
