"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-01","2012","01","01","","-8.9","","-19.1","","-14.0","","32.0","","0.0","","","M","","M","0.0","","","","12","","39",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-02","2012","01","02","","-6.0","","-10.0","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","12","","46",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-03","2012","01","03","","2.4","","-9.4","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","28","","35",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-04","2012","01","04","","6.5","","-3.9","","1.3","","16.7","","0.0","","","M","","M","1.5","","","","","","<31",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-05","2012","01","05","","4.4","","-2.1","","1.2","","16.8","","0.0","","","M","","M","4.0","","","","26","","70",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-06","2012","01","06","","1.5","","-5.4","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","28","","57",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-07","2012","01","07","","0.4","","-12.3","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-08","2012","01","08","","8.6","","-2.8","","2.9","","15.1","","0.0","","","M","","M","0.0","","","","27","","69",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-09","2012","01","09","","9.6","","-2.0","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","3","","80",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-10","2012","01","10","","1.6","","-14.6","","-6.5","","24.5","","0.0","","","M","","M","0.0","","","","28","","72",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-11","2012","01","11","","-0.2","","-19.2","","-9.7","","27.7","","0.0","","","M","","M","0.0","","","","3","","41",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-12","2012","01","12","","2.4","","-8.5","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","28","","44",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-13","2012","01","13","","2.4","","-6.4","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","28","","72",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-14","2012","01","14","","-4.0","","-15.6","","-9.8","","27.8","","0.0","","","M","","M","0.5","","","","32","","35",""
"-114.78","55.29","SLAVE LAKE AWOS A","3066002","2012-01-15","2012","01","15","","-15.6","","-25.1","","-20.4","","38.4","","0.0","","","M","","M","0.0","","","","31","","44",""
