"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-01","2009","01","01","","-20.0","","-28.6","","-24.3","","42.3","","0.0","","","M","","M","7.4","","","","36","","32",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-02","2009","01","02","","-26.1","","-37.3","","-31.7","","49.7","","0.0","","","M","","M","1.9","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-03","2009","01","03","","-24.2","","-43.0","","-33.6","","51.6","","0.0","","","M","","M","14.8","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-04","2009","01","04","","-15.9","","-32.4","","-24.2","","42.2","","0.0","","","M","","M","4.9","","","","13","","43",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-05","2009","01","05","","-14.5","","-20.1","","-17.3","","35.3","","0.0","","","M","","M","0.0","","","","13","","43",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-06","2009","01","06","","-14.8","","-28.9","","-21.9","","39.9","","0.0","","","M","","M","9.0","","","","33","","43",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-07","2009","01","07","","-18.7","","-27.6","","-23.2","","41.2","","0.0","","","M","","M","5.8","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-08","2009","01","08","","-17.6","","-25.0","","-21.3","","39.3","","0.0","","","M","","M","2.0","","","","34","","37",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-09","2009","01","09","","-12.1","","-31.8","","-22.0","","40.0","","0.0","","","M","","M","8.2","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-10","2009","01","10","","0.0","","-12.1","","-6.1","","24.1","","0.0","","","M","","M","0.0","","","","32","","32",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-11","2009","01","11","","-7.7","","-20.4","","-14.1","","32.1","","0.0","","","M","","M","3.6","","","","36","","44",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-12","2009","01","12","","-17.7","","-21.0","","-19.4","","37.4","","0.0","","","M","","M","3.1","","","","13","","32",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-13","2009","01","13","","-14.8","","-20.7","","-17.8","","35.8","","0.0","","","M","","M","","M","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-14","2009","01","14","","-17.9","","-21.4","","-19.7","","37.7","","0.0","","","M","","M","1.9","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-15","2009","01","15","","-1.7","","-17.9","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-16","2009","01","16","","5.4","","-5.0","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","34","","48",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-17","2009","01","17","","4.6","","-8.5","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-18","2009","01","18","","8.8","","-6.2","","1.3","","16.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.50","54.28","SMOKY LAKE AGDM","3016022","2009-01-19","2009","01","19","","2.8","","-12.5","","-4.9","","22.9","","0.0","","","M","","M","1.1","","","","","","<31",""
