"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-01","2009","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-02","2009","01","02","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-03","2009","01","03","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-04","2009","01","04","","-14.7","","-36.6","","-25.7","","43.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-05","2009","01","05","","-5.4","","-16.8","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-06","2009","01","06","","-3.4","","-17.9","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-07","2009","01","07","","-14.2","","-18.6","","-16.4","","34.4","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-08","2009","01","08","","-14.5","","-19.9","","-17.2","","35.2","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-09","2009","01","09","","-5.0","","-29.2","","-17.1","","35.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-10","2009","01","10","","0.5","","-9.4","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-11","2009","01","11","","2.6","","-16.8","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-12","2009","01","12","","-8.8","","-20.6","","-14.7","","32.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-13","2009","01","13","","4.9","","-19.0","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-14","2009","01","14","","-16.6","","-19.9","","-18.3","","36.3","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-15","2009","01","15","","-0.3","","-16.6","","-8.5","","26.5","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-16","2009","01","16","","5.0","","-4.8","","0.1","","17.9","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-17","2009","01","17","","3.3","","-4.0","","-0.4","","18.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-18","2009","01","18","","5.9","","-1.0","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-19","2009","01","19","","6.4","","-7.8","","-0.7","","18.7","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-20","2009","01","20","","4.6","","-6.8","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-21","2009","01","21","","1.2","","-10.3","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-22","2009","01","22","","-7.5","","-22.6","","-15.1","","33.1","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-23","2009","01","23","","-21.5","","-29.5","","-25.5","","43.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-24","2009","01","24","","-20.2","","-31.3","","-25.8","","43.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-25","2009","01","25","","-15.7","","-28.2","","-22.0","","40.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-26","2009","01","26","","-10.2","","-28.5","","-19.4","","37.4","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-27","2009","01","27","","1.0","","-22.7","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-28","2009","01","28","","-0.4","","-9.2","","-4.8","","22.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-29","2009","01","29","","2.6","","-8.8","","-3.1","","21.1","","0.0","","","M","","M","0.4","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-30","2009","01","30","","6.6","","-2.7","","2.0","","16.0","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-01-31","2009","01","31","","2.0","","-9.1","","-3.6","","21.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-01","2009","02","01","","-2.8","","-12.3","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-02","2009","02","02","","-2.5","","-14.4","","-8.5","","26.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-03","2009","02","03","","3.5","","-11.1","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-04","2009","02","04","","8.8","","-5.0","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-05","2009","02","05","","5.2","","-8.3","","-1.6","","19.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-06","2009","02","06","","0.0","","-7.6","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-07","2009","02","07","","3.5","","-11.9","","-4.2","","22.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-08","2009","02","08","","5.7","","-9.0","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-09","2009","02","09","","1.7","","-10.7","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-10","2009","02","10","","-2.2","E","-6.4","E","-4.3","E","22.3","E","0.0","E","","M","","M","0.0","E","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-11","2009","02","11","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-12","2009","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-13","2009","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-14","2009","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-15","2009","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-16","2009","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-17","2009","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-18","2009","02","18","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-19","2009","02","19","","0.7","","-13.8","","-6.6","","24.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-20","2009","02","20","","-3.4","","-18.7","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-21","2009","02","21","","0.4","","-17.6","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-22","2009","02","22","","-1.1","","-13.2","","-7.2","","25.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-23","2009","02","23","","-7.7","","-10.8","","-9.3","","27.3","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-24","2009","02","24","","-10.6","","-16.9","","-13.8","","31.8","","0.0","","","M","","M","3.2","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-25","2009","02","25","","-16.9","","-22.4","","-19.7","","37.7","","0.0","","","M","","M","2.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-26","2009","02","26","","-20.8","","-30.8","","-25.8","","43.8","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-27","2009","02","27","","-9.5","","-30.1","","-19.8","","37.8","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-02-28","2009","02","28","","-13.7","","-24.3","","-19.0","","37.0","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-01","2009","03","01","","-9.4","","-22.7","","-16.1","","34.1","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-02","2009","03","02","","-1.4","","-18.2","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-03","2009","03","03","","-1.4","","-10.2","","-5.8","","23.8","","0.0","","","M","","M","2.4","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-04","2009","03","04","","1.9","","-9.0","","-3.6","","21.6","","0.0","","","M","","M","0.8","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-05","2009","03","05","","-2.6","","-21.3","","-12.0","","30.0","","0.0","","","M","","M","0.4","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-06","2009","03","06","","-12.7","","-30.8","","-21.8","","39.8","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-07","2009","03","07","","-1.5","","-19.2","","-10.4","","28.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-08","2009","03","08","","-7.8","","-22.1","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-09","2009","03","09","","-22.1","","-31.2","","-26.7","","44.7","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-10","2009","03","10","","-20.7","","-33.3","","-27.0","","45.0","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-11","2009","03","11","","-12.2","","-36.4","","-24.3","","42.3","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-12","2009","03","12","","-0.1","","-24.2","","-12.2","","30.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-13","2009","03","13","","","M","-13.7","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-14","2009","03","14","","6.3","","-8.8","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-15","2009","03","15","","-4.1","","-9.3","","-6.7","","24.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-16","2009","03","16","","-3.8","","-13.6","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-17","2009","03","17","","-2.3","","-18.2","","-10.3","","28.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-18","2009","03","18","","-1.2","","-15.6","","-8.4","","26.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-19","2009","03","19","","9.0","","-8.0","","0.5","","17.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-20","2009","03","20","","5.7","","-8.4","","-1.4","","19.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-21","2009","03","21","","7.2","","-2.4","","2.4","","15.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-22","2009","03","22","","-0.9","","-6.1","","-3.5","","21.5","","0.0","","","M","","M","3.4","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-23","2009","03","23","","-2.8","","-11.2","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-24","2009","03","24","","-2.7","","-13.8","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-25","2009","03","25","","-5.4","","-13.2","","-9.3","","27.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-26","2009","03","26","","2.3","","-15.1","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-27","2009","03","27","","5.1","","-6.9","","-0.9","","18.9","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-28","2009","03","28","","4.1","","-3.2","","0.5","","17.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-29","2009","03","29","","4.0","","-7.2","","-1.6","","19.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-30","2009","03","30","","7.2","","-9.3","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-03-31","2009","03","31","","9.9","","-7.5","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-01","2009","04","01","","3.7","","-5.1","","-0.7","","18.7","","0.0","","","M","","M","1.4","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-02","2009","04","02","","3.4","","-4.9","","-0.8","","18.8","","0.0","","","M","","M","0.4","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-03","2009","04","03","","1.7","","-4.9","","-1.6","","19.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-04","2009","04","04","","6.5","","-5.4","","0.6","","17.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-05","2009","04","05","","10.1","","-8.4","","0.9","","17.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-06","2009","04","06","","","M","-1.6","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-07","2009","04","07","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-08","2009","04","08","","14.7","","-0.6","","7.1","","10.9","","0.0","","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-09","2009","04","09","","16.4","","-0.8","","7.8","","10.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-10","2009","04","10","","","M","-0.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-11","2009","04","11","","","M","-0.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-12","2009","04","12","","14.7","","0.6","","7.7","","10.3","","0.0","","","M","","M","0.4","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-13","2009","04","13","","15.0","","-1.8","","6.6","","11.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-14","2009","04","14","","2.4","","-3.9","","-0.8","","18.8","","0.0","","","M","","M","1.1","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-15","2009","04","15","","9.1","","-5.9","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-16","2009","04","16","","10.6","","-4.8","","2.9","","15.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.68","51.82","SPONDIN AGCM","3016070","2009-04-17","2009","04","17","","16.0","","-8.3","","3.9","","14.1","","0.0","","","M","","M","0.0","","","","","M","","M"
