"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-01","2011","01","01","†","","","","","","","","","","","17.2","","0.0","","34.4","","14","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-02","2011","01","02","†","","","","","","","","","","","0.0","","5.2","","5.2","","10","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-03","2011","01","03","†","","","","","","","","","","","0.0","","4.4","","4.4","","21","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-04","2011","01","04","†","","","","","","","","","","","0.0","","1.4","","1.4","","22","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-05","2011","01","05","†","","","","","","","","","","","0.0","","1.2","","1.2","","21","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-06","2011","01","06","†","","","","","","","","","","","0.0","","3.6","","3.6","","20","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-07","2011","01","07","†","","","","","","","","","","","0.0","","1.4","","1.4","","24","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-08","2011","01","08","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","22","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-09","2011","01","09","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","22","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-10","2011","01","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","22","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-11","2011","01","11","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","20","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-12","2011","01","12","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","19","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-13","2011","01","13","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","20","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-14","2011","01","14","†","","","","","","","","","","","0.0","","2.4","","2.4","","19","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-15","2011","01","15","†","","","","","","","","","","","0.0","","4.2","","4.2","","21","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-16","2011","01","16","†","","","","","","","","","","","0.0","","0.0","","0.0","T","26","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-17","2011","01","17","†","","","","","","","","","","","0.0","","5.6","","5.6","","26","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-18","2011","01","18","†","","","","","","","","","","","0.0","","5.0","","5.0","","29","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-19","2011","01","19","†","","","","","","","","","","","","","","","","","32","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-20","2011","01","20","†","","","","","","","","","","","0.0","","0.4","","0.4","","","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-21","2011","01","21","†","","","","","","","","","","","0.0","","1.4","","1.4","","33","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-22","2011","01","22","†","","","","","","","","","","","0.0","","1.4","","1.4","","34","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-23","2011","01","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","34","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-24","2011","01","24","†","","","","","","","","","","","0.0","","1.8","","1.8","","34","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-25","2011","01","25","†","","","","","","","","","","","0.0","","0.4","","0.4","","35","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-26","2011","01","26","†","","","","","","","","","","","0.0","","1.0","","1.0","","35","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-27","2011","01","27","†","","","","","","","","","","","0.0","","0.6","","0.6","","34","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-28","2011","01","28","†","","","","","","","","","","","0.0","","2.4","","2.4","","35","","","","",""
"-79.49","45.43","SPRUCEDALE","6117981","2011-01-29","2011","01","29","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","39","","","","",""
