"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-01","2012","01","01","†","","M","","M","","M","","M","","M","5.3","","0.0","","5.3","","0","","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-02","2012","01","02","†","","M","","M","","M","","M","","M","0.0","","1.0","","0.8","","0","","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-03","2012","01","03","†","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","T","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-04","2012","01","04","†","","M","","M","","M","","M","","M","0.0","T","0.0","","0.0","T","0","T","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-05","2012","01","05","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","T","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-06","2012","01","06","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-07","2012","01","07","†","","M","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-08","2012","01","08","†","","M","","M","","M","","M","","M","0.0","","0.0","T","0.2","","0","T","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-09","2012","01","09","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-79.25","43.12","ST CATHARINES BROCK U","6137290","2012-01-10","2012","01","10","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
