"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-01","2017","01","01","","-3.7","","-14.1","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-02","2017","01","02","","2.7","","-15.0","","-6.2","","24.2","","0.0","","0.0","","3.6","","3.6","","47","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-03","2017","01","03","","-2.5","","-6.6","","-4.6","","22.6","","0.0","","","M","17.0","","","M","49","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-04","2017","01","04","","-1.2","","-6.0","","-3.6","","21.6","","0.0","","0.0","","","M","","M","60","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-05","2017","01","05","","-10.6","","-15.7","","-13.2","","31.2","","0.0","","0.0","","","M","","M","","M","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-06","2017","01","06","","-8.1","","-22.8","","-15.5","","33.5","","0.0","","0.0","","","M","","M","","M","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-07","2017","01","07","","-10.1","","-26.0","","-18.1","","36.1","","0.0","","0.0","","","M","","M","","M","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-08","2017","01","08","","-11.3","","-29.8","","-20.6","","38.6","","0.0","","0.0","","","M","","M","","M","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-09","2017","01","09","","-11.7","","-31.0","","-21.4","","39.4","","0.0","","0.0","","5.2","","5.2","","65","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-10","2017","01","10","","0.4","","-16.3","","-8.0","","26.0","","0.0","","","M","19.0","","","M","66","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-11","2017","01","11","","2.7","","-8.0","","-2.7","","20.7","","0.0","","7.6","","0.0","","7.6","","78","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-12","2017","01","12","","3.4","","-1.0","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","75","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-13","2017","01","13","","-8.0","","-15.9","","-12.0","","30.0","","0.0","","0.0","","","M","","M","75","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-14","2017","01","14","","-10.9","","-27.1","","-19.0","","37.0","","0.0","","0.0","","","M","","M","","M","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-15","2017","01","15","","-6.5","","-16.8","","-11.7","","29.7","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-16","2017","01","16","","0.0","","-17.2","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","73","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-17","2017","01","17","","-2.7","","-7.0","","-4.9","","22.9","","0.0","","0.0","","6.4","","6.4","","70","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-18","2017","01","18","","-2.0","","-8.4","","-5.2","","23.2","","0.0","","","M","0.0","T","","M","75","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-19","2017","01","19","","0.6","","-4.6","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","74","","","","",""
"-74.00","45.98","ST HIPPOLYTE","7037310","2017-01-20","2017","01","20","","-0.9","","-2.4","","-1.7","","19.7","","0.0","","","M","","M","","M","72","","","","",""
