"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.95","ST JACQUES","7017380","2010-01-01","2010","01","01","","-4.0","","","M","","M","","M","","M","0.0","","0.0","C","0.0","C","","M","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-02","2010","01","02","","-1.0","","-5.0","","-3.0","","21.0","","0.0","","0.0","","3.0","","3.0","","40","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-03","2010","01","03","","2.0","","-10.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-04","2010","01","04","","-1.5","","-8.0","","-4.8","","22.8","","0.0","","0.0","","2.0","","2.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-05","2010","01","05","","-2.0","","-7.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-06","2010","01","06","","-1.5","","-7.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-07","2010","01","07","","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-08","2010","01","08","","","M","-11.5","","","M","","M","","M","0.0","","0.0","","0.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-09","2010","01","09","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-10","2010","01","10","","-6.0","","-20.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-11","2010","01","11","","-3.0","","-13.0","","-8.0","","26.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-12","2010","01","12","","-7.0","","-12.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-13","2010","01","13","","-9.5","","-20.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-14","2010","01","14","","-2.5","","-11.5","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","38","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-15","2010","01","15","","3.5","","-10.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-16","2010","01","16","","2.0","","0.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-17","2010","01","17","","-5.0","","-10.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-18","2010","01","18","","-4.0","","-10.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-19","2010","01","19","","-1.5","","-5.0","","-3.3","","21.3","","0.0","","0.0","","1.0","","1.0","","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-20","2010","01","20","","1.5","","-4.0","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-21","2010","01","21","","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-22","2010","01","22","","-0.5","","-16.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-23","2010","01","23","","","M","-19.0","","","M","","M","","M","0.0","","0.0","","0.0","","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-24","2010","01","24","","2.0","","-15.0","","-6.5","","24.5","","0.0","","25.0","","0.0","","25.0","","","M","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-25","2010","01","25","","5.0","","-6.0","","-0.5","","18.5","","0.0","","33.0","","0.0","T","33.0","","27","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-26","2010","01","26","","1.0","","0.0","","0.5","","17.5","","0.0","","1.0","","0.0","","1.0","","20","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-27","2010","01","27","","1.5","","-4.0","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-28","2010","01","28","","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","18","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-29","2010","01","29","","-15.5","","-19.0","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-30","2010","01","30","","","M","-23.0","","","M","","M","","M","0.0","","0.0","","0.0","","18","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-01-31","2010","01","31","","-7.0","","-20.0","","-13.5","","31.5","","0.0","","0.0","","0.0","T","0.0","T","18","E","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-02-01","2010","02","01","","-10.0","","-16.0","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-02-02","2010","02","02","","-12.0","","-22.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-73.58","45.95","ST JACQUES","7017380","2010-02-03","2010","02","03","","-7.0","","-20.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
