"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-01","2017","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-02","2017","01","02","†","5.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-03","2017","01","03","†","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-04","2017","01","04","†","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-05","2017","01","05","†","","M","-5.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-06","2017","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-07","2017","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-08","2017","01","08","†","3.5","","","M","","M","","M","","M","0.0","","6.0","","6.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-09","2017","01","09","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-10","2017","01","10","†","-1.0","","-3.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-11","2017","01","11","†","-1.0","","-4.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-12","2017","01","12","†","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-13","2017","01","13","†","","M","-8.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-14","2017","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-15","2017","01","15","†","4.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-16","2017","01","16","†","5.5","","-6.0","","-0.3","","18.3","","0.0","","9.0","","0.0","","9.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-17","2017","01","17","†","7.0","","1.5","","4.3","","13.7","","0.0","","44.0","","0.0","","44.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-18","2017","01","18","†","9.5","","2.0","","5.8","","12.2","","0.0","","25.0","","0.0","","25.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-19","2017","01","19","†","6.0","","0.5","","3.3","","14.7","","0.0","","15.8","","0.0","","15.8","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-20","2017","01","20","†","","M","-5.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-21","2017","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-22","2017","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-23","2017","01","23","†","9.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-24","2017","01","24","†","","M","-1.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-25","2017","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-26","2017","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-27","2017","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-28","2017","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-29","2017","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-30","2017","01","30","†","8.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-01-31","2017","01","31","†","6.0","","1.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-01","2017","02","01","†","5.5","","1.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-02","2017","02","02","†","","M","0.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-03","2017","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-04","2017","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-05","2017","02","05","†","","M","","M","","M","","M","","M","0.0","","35.0","","35.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-06","2017","02","06","†","","M","-5.5","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-07","2017","02","07","†","-1.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-08","2017","02","08","†","","M","-4.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-09","2017","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-10","2017","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-11","2017","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-12","2017","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-13","2017","02","13","†","12.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-14","2017","02","14","†","11.0","","1.0","","6.0","","12.0","","0.0","","25.0","","0.0","","25.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-15","2017","02","15","†","14.0","","5.0","","9.5","","8.5","","0.0","","26.0","","0.0","","26.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-16","2017","02","16","†","13.0","","6.0","","9.5","","8.5","","0.0","","9.0","","0.0","","9.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-17","2017","02","17","†","","M","-2.5","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-18","2017","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-19","2017","02","19","†","12.0","","","M","","M","","M","","M","12.0","","0.0","","12.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-20","2017","02","20","†","9.0","","3.0","","6.0","","12.0","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-21","2017","02","21","†","9.0","","3.0","","6.0","","12.0","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-22","2017","02","22","†","","M","2.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-23","2017","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-24","2017","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-25","2017","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-26","2017","02","26","†","8.0","","","M","","M","","M","","M","14.0","","0.0","T","14.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-27","2017","02","27","†","-0.5","","-2.0","","-1.3","","19.3","","0.0","","0.0","","10.0","","10.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-02-28","2017","02","28","†","","M","-3.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-01","2017","03","01","†","8.0","","","M","","M","","M","","M","6.0","","0.0","","6.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-02","2017","03","02","†","9.5","","3.0","","6.3","","11.7","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-03","2017","03","03","†","","M","3.5","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-04","2017","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-05","2017","03","05","†","9.5","","","M","","M","","M","","M","49.2","","0.0","","49.2","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-06","2017","03","06","†","7.0","","0.5","","3.8","","14.2","","0.0","","1.2","","0.0","T","1.2","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-07","2017","03","07","†","5.0","","0.5","","2.8","","15.2","","0.0","","10.8","","0.0","","10.8","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-08","2017","03","08","†","8.0","","1.0","","4.5","","13.5","","0.0","","7.8","","0.0","","7.8","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-09","2017","03","09","†","10.0","","1.0","","5.5","","12.5","","0.0","","35.2","","0.0","","35.2","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-10","2017","03","10","†","","M","2.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-11","2017","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-12","2017","03","12","†","12.0","","","M","","M","","M","","M","32.0","","0.0","","32.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-13","2017","03","13","†","10.0","","4.5","","7.3","","10.7","","0.0","","12.6","","0.0","","12.6","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-14","2017","03","14","†","14.0","","7.5","","10.8","","7.2","","0.0","","31.0","","0.0","","31.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-15","2017","03","15","†","10.5","","7.0","","8.8","","9.2","","0.0","","9.0","","0.0","","9.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-16","2017","03","16","†","10.5","","5.5","","8.0","","10.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-17","2017","03","17","†","","M","3.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-18","2017","03","18","†","9.0","","","M","","M","","M","","M","54.0","","0.0","","54.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-19","2017","03","19","†","10.0","","2.5","","6.3","","11.7","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-20","2017","03","20","†","","M","3.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-21","2017","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-22","2017","03","22","†","14.0","","","M","","M","","M","","M","4.0","","0.0","","4.0","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-23","2017","03","23","†","12.5","","6.5","","9.5","","8.5","","0.0","","25.0","","0.0","","25.0","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-24","2017","03","24","†","","M","6.0","","","M","","M","","M","","","","","","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-25","2017","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-26","2017","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-27","2017","03","27","†","12.0","","","M","","M","","M","","M","7.6","","0.0","","7.6","","","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-28","2017","03","28","†","8.0","","7.0","","7.5","","10.5","","0.0","","33.6","","0.0","","33.6","","0","","","","",""
"-122.11","49.11","SUMAS CANAL","1107785","2017-03-29","2017","03","29","†","11.0","","5.0","","8.0","","10.0","","0.0","","12.0","","0.0","","12.0","","0","","","","",""
