"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-01","2016","01","01","","0.0","","-23.0","","-11.5","","29.5","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-02","2016","01","02","","-2.2","","-23.2","","-12.7","","30.7","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-03","2016","01","03","","-2.9","","-22.7","","-12.8","","30.8","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-04","2016","01","04","","-2.9","","-21.7","","-12.3","","30.3","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-05","2016","01","05","","-4.5","","-18.5","","-11.5","","29.5","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-06","2016","01","06","","-9.1","","-21.8","","-15.5","","33.5","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-07","2016","01","07","","-9.8","","-24.0","","-16.9","","34.9","","0.0","","","M","","M","1.3","","14","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-08","2016","01","08","","-14.3","","-30.4","","-22.4","","40.4","","0.0","","","M","","M","0.2","","17","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-09","2016","01","09","","-7.9","","-31.6","","-19.8","","37.8","","0.0","","","M","","M","0.0","","16","","","","<31",""
"-114.68","51.78","SUNDRE A","3026KNQ","2016-01-10","2016","01","10","","1.6","","-24.7","","-11.6","","29.6","","0.0","","","M","","M","0.0","","16","","","","<31",""
