"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-01","2019","01","01","","0.4","","-10.1","","-4.8","","22.8","","0.0","","","","","","1.2","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-02","2019","01","02","","7.2","","-2.7","","2.2","","15.8","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-03","2019","01","03","","4.6","","-2.3","","1.1","","16.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-04","2019","01","04","","-1.8","","-6.9","","-4.4","","22.4","","0.0","","","","","","2.2","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-05","2019","01","05","","-4.5","","-11.3","","-7.9","","25.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-06","2019","01","06","","-4.8","","-8.7","","-6.7","","24.7","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-07","2019","01","07","","-8.7","","-20.9","","-14.8","","32.8","","0.0","","","","","","0.4","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-08","2019","01","08","","-17.4","","-26.6","","-22.0","","40.0","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-09","2019","01","09","","-12.6","","-17.4","","-15.0","","33.0","","0.0","","","","","","2.1","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-10","2019","01","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-11","2019","01","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-12","2019","01","12","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-13","2019","01","13","","-0.3","","-11.4","","-5.9","","23.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-14","2019","01","14","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-15","2019","01","15","","-4.4","","-15.9","","-10.2","","28.2","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-16","2019","01","16","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-17","2019","01","17","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-18","2019","01","18","","-17.6","","-19.3","","-18.5","","36.5","","0.0","","","","","","0.5","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-19","2019","01","19","","-15.6","","-18.4","","-17.0","","35.0","","0.0","","","","","","2.2","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-20","2019","01","20","","-2.8","","-15.7","","-9.2","","27.2","","0.0","","","","","","0.0","","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-21","2019","01","21","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.52","54.30","TAWATINAW AGCM","3066367","2019-01-22","2019","01","22","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
