"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-01","2010","01","01","","-16.3","","-26.5","","-21.4","","39.4","","0.0","","","","","","","","23","","34","","48",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-02","2010","01","02","","-22.4","","-27.7","","-25.1","","43.1","","0.0","","","","","","","","23","","33","","44",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-03","2010","01","03","","-17.0","","-24.9","","-21.0","","39.0","","0.0","","","","","","","","25","","32","","41",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-04","2010","01","04","","-12.8","","-17.1","","-15.0","","33.0","","0.0","","","","","","","","30","","33","","37",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-05","2010","01","05","","-12.5","","-15.2","","-13.9","","31.9","","0.0","","","","","","","","31","","34","","33",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-06","2010","01","06","","-12.7","","-15.6","","-14.2","","32.2","","0.0","","","","","","","","27","","32","","33",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-07","2010","01","07","","-13.0","","-18.5","","-15.8","","33.8","","0.0","","","","","","","","26","","35","","37",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-08","2010","01","08","","-17.5","","-24.9","","-21.2","","39.2","","0.0","","","","","","","","26","","33","","37",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-09","2010","01","09","","-7.2","","-29.4","","-18.3","","36.3","","0.0","","","","","","","","23","","","","<31",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-10","2010","01","10","","-2.5","","-10.6","","-6.6","","24.6","","0.0","","","","","","","","20","","","","<31",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-11","2010","01","11","","-10.6","","-21.7","","-16.2","","34.2","","0.0","","","","","","","","19","","34","","33",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-12","2010","01","12","","-9.7","","-25.9","","-17.8","","35.8","","0.0","","","","","","","","20","","18","","33",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-13","2010","01","13","","-2.0","","-9.7","","-5.9","","23.9","","0.0","","","","","","","","18","","","","<31",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-14","2010","01","14","","-0.6","","-3.0","","-1.8","","19.8","","0.0","","","","","","","","17","","19","","37",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-15","2010","01","15","","-1.3","","-9.5","","-5.4","","23.4","","0.0","","","","","","","","16","","24","","33",""
"-81.38","48.57","TIMMINS VICTOR POWER A","6078285","2010-01-16","2010","01","16","","-1.3","","-8.7","","-5.0","","23.0","","0.0","","","","","","","","17","","","","<31",""
