"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-01","2009","01","01","","-24.2","","-27.9","","-26.1","","44.1","","0.0","","","M","","M","1.7","","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-02","2009","01","02","","-25.1","","-34.9","","-30.0","","48.0","","0.0","","","M","","M","3.8","","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-03","2009","01","03","","-19.9","","-37.6","","-28.8","","46.8","","0.0","","","M","","M","1.3","","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-04","2009","01","04","","-4.6","","-21.9","","-13.3","","31.3","","0.0","","","M","","M","0.0","","","","15","","46",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-05","2009","01","05","","-3.9","","-19.3","","-11.6","","29.6","","0.0","","","M","","M","0.0","","","","15","","37",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-06","2009","01","06","","-19.3","","-28.2","","-23.8","","41.8","","0.0","","","M","","M","2.0","","","","35","","33",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-07","2009","01","07","","-22.9","","-24.9","","-23.9","","41.9","","0.0","","","M","","M","3.8","","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-08","2009","01","08","","-20.6","","-28.6","","-24.6","","42.6","","0.0","","","M","","M","2.2","","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-09","2009","01","09","","-5.6","","-29.7","","-17.7","","35.7","","0.0","","","M","","M","0.0","","","","15","","32",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-10","2009","01","10","","0.8","","-20.4","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","24","","32",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-11","2009","01","11","","-9.9","","-20.9","","-15.4","","33.4","","0.0","","","M","","M","4.3","","","","34","","41",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-12","2009","01","12","","-10.3","E","-21.9","E","-16.1","E","34.1","E","0.0","E","","M","","M","","M","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-13","2009","01","13","","4.1","","-18.6","","-7.3","","25.3","","0.0","","","M","","M","3.5","","","","1","","61",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-14","2009","01","14","","-8.3","","-18.4","","-13.4","","31.4","","0.0","","","M","","M","","M","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-15","2009","01","15","","4.8","","-12.6","","-3.9","","21.9","","0.0","","","M","","M","0.0","","","","24","","54",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-16","2009","01","16","","6.8","","-1.8","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","25","","54",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-17","2009","01","17","","8.8","","-6.5","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","26","","33",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-18","2009","01","18","","8.9","","-7.6","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","17","","33",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-19","2009","01","19","","6.7","","-8.7","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","17","","35",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-20","2009","01","20","","1.3","E","-9.6","E","-4.2","E","22.2","E","0.0","E","","M","","M","","M","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-21","2009","01","21","","-3.8","","-12.4","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","32","","56",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-22","2009","01","22","","-12.3","","-26.2","","-19.3","","37.3","","0.0","","","M","","M","1.8","","","","33","","50",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-23","2009","01","23","","-25.0","","-33.0","","-29.0","","47.0","","0.0","","","M","","M","2.9","","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-24","2009","01","24","","-23.9","","-37.5","","-30.7","","48.7","","0.0","","","M","","M","2.2","","","","","","<31",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-25","2009","01","25","","-13.7","","-24.8","","-19.3","","37.3","","0.0","","","M","","M","0.6","","","","25","","33",""
"-117.20","55.10","VALLEYVIEW AGDM","3076680","2009-01-26","2009","01","26","","-8.9","","-25.2","","-17.1","","35.1","","0.0","","","M","","M","0.0","","","","15","","33",""
