"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-01","2015","01","01","","2.4","","-10.2","","-3.9","","21.9","","0.0","","","M","","M","0.2","","","","36","","41",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-02","2015","01","02","","-10.2","","-28.0","","-19.1","","37.1","","0.0","","","M","","M","2.5","","","","3","","37",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-03","2015","01","03","","-20.7","","-32.4","","-26.6","","44.6","","0.0","","","M","","M","5.2","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-04","2015","01","04","","-24.7","","-34.6","","-29.7","","47.7","","0.0","","","M","","M","4.8","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-05","2015","01","05","","-18.7","","-34.3","","-26.5","","44.5","","0.0","","","M","","M","4.3","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-06","2015","01","06","","-18.0","","-32.2","","-25.1","","43.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-07","2015","01","07","","-8.0","","-30.1","","-19.1","","37.1","","0.0","","","M","","M","2.8","","","","33","","63",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-08","2015","01","08","","-12.5","","-25.8","","-19.2","","37.2","","0.0","","","M","","M","0.6","","","","33","","63",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-09","2015","01","09","","-18.9","","-33.5","","-26.2","","44.2","","0.0","","","M","","M","7.2","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-10","2015","01","10","","-16.5","","-28.7","","-22.6","","40.6","","0.0","","","M","","M","0.0","","17","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-11","2015","01","11","","-19.4","","-30.5","","-25.0","","43.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-12","2015","01","12","","-14.8","","-23.3","","-19.1","","37.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-13","2015","01","13","","2.1","","-17.7","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-14","2015","01","14","","5.0","","-3.4","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-15","2015","01","15","","2.3","","-8.6","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.10","53.51","VEGREVILLE","3016GF0","2015-01-16","2015","01","16","","4.1","","-8.2","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","29","","46",""
