"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-01","2015","01","01","","-0.7","","-13.2","","-7.0","","25.0","","0.0","","","M","","M","1.5","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-02","2015","01","02","","-13.2","","-23.3","","-18.3","","36.3","","0.0","","","M","","M","1.3","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-03","2015","01","03","","-21.9","","-32.4","","-27.2","","45.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-04","2015","01","04","","-26.0","","-33.8","","-29.9","","47.9","","0.0","","","M","","M","","M","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-05","2015","01","05","","-21.8","","-33.0","","-27.4","","45.4","","0.0","","","M","","M","","M","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-06","2015","01","06","","-18.5","","-31.7","","-25.1","","43.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-07","2015","01","07","","-10.7","","-33.4","","-22.1","","40.1","","0.0","","","M","","M","0.7","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-08","2015","01","08","","-13.9","","-25.9","","-19.9","","37.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-09","2015","01","09","","-18.3","","-33.4","","-25.9","","43.9","","0.0","","","M","","M","","M","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-10","2015","01","10","","-17.9","","-29.6","","-23.8","","41.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-11","2015","01","11","","-17.3","","-32.1","","-24.7","","42.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-12","2015","01","12","","-13.1","","-27.4","","-20.3","","38.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-13","2015","01","13","","1.1","","-13.8","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-14","2015","01","14","","3.6","","-1.2","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-15","2015","01","15","","1.7","","-8.1","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-16","2015","01","16","","1.8","","-7.3","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-17","2015","01","17","","0.2","","-5.1","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-18","2015","01","18","","-2.5","","-13.1","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-111.92","54.13","VILNA AGCM","3016852","2015-01-19","2015","01","19","","1.7","","-14.8","","-6.6","","24.6","","0.0","","","M","","M","1.3","","","","","M","","M"
