"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-01","2013","01","01","","0.2","E","-6.0","E","-2.9","E","20.9","E","0.0","E","","M","","M","0.0","E","45","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-02","2013","01","02","","-2.8","E","-11.4","E","-7.1","E","25.1","E","0.0","E","","M","","M","0.0","E","43","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-03","2013","01","03","","3.8","E","-9.4","E","-2.8","E","20.8","E","0.0","E","","M","","M","0.0","E","47","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-04","2013","01","04","","-4.3","E","-11.1","E","-7.7","E","25.7","E","0.0","E","","M","","M","0.0","E","45","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-05","2013","01","05","","-5.4","E","-11.1","E","-8.3","E","26.3","E","0.0","E","","M","","M","0.0","E","45","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-06","2013","01","06","","0.3","E","-9.1","E","-4.4","E","22.4","E","0.0","E","","M","","M","0.6","E","46","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-07","2013","01","07","","-6.9","E","-14.9","E","-10.9","E","28.9","E","0.0","E","","M","","M","0.0","T","45","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-08","2013","01","08","","1.0","E","-13.3","E","-6.2","E","24.2","E","0.0","E","","M","","M","0.4","E","44","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-09","2013","01","09","","-3.3","E","-8.1","E","-5.7","E","23.7","E","0.0","E","","M","","M","3.6","E","44","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-10","2013","01","10","","-13.0","E","-13.8","E","-13.4","E","31.4","E","0.0","E","","M","","M","1.3","E","49","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-11","2013","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-115.79","54.14","WHITECOURT A","3067372","2013-01-12","2013","01","12","","-8.6","E","-19.4","E","-14.0","E","32.0","E","0.0","E","","M","","M","0.2","E","49","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-13","2013","01","13","","-7.3","E","-14.1","E","-10.7","E","28.7","E","0.0","E","","M","","M","0.0","T","48","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-14","2013","01","14","","2.4","E","-9.9","E","-3.8","E","21.8","E","0.0","E","","M","","M","2.8","E","50","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-15","2013","01","15","","10.7","E","-5.9","E","2.4","E","15.6","E","0.0","E","","M","","M","0.0","E","41","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-16","2013","01","16","","2.8","E","0.6","E","1.7","E","16.3","E","0.0","E","","M","","M","1.1","E","36","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-17","2013","01","17","","2.6","E","-6.1","E","-1.8","E","19.8","E","0.0","E","","M","","M","7.5","E","36","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-18","2013","01","18","","5.8","E","-6.1","E","-0.2","E","18.2","E","0.0","E","","M","","M","0.2","E","35","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-19","2013","01","19","","-7.0","E","-10.0","E","-8.5","E","26.5","E","0.0","E","","M","","M","3.4","E","36","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-20","2013","01","20","","-17.1","E","-22.6","E","-19.9","E","37.9","E","0.0","E","","M","","M","1.2","E","36","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-21","2013","01","21","","-14.2","E","-20.8","E","-17.5","E","35.5","E","0.0","E","","M","","M","2.6","E","36","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-22","2013","01","22","","-11.0","E","-17.1","E","-14.1","E","32.1","E","0.0","E","","M","","M","0.0","T","36","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-23","2013","01","23","","-12.7","E","-14.8","E","-13.8","E","31.8","E","0.0","E","","M","","M","1.7","E","36","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-24","2013","01","24","","-0.1","E","-14.5","E","-7.3","E","25.3","E","0.0","E","","M","","M","5.0","E","37","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-25","2013","01","25","","2.0","E","-10.3","E","-4.2","E","22.2","E","0.0","E","","M","","M","0.0","E","34","","","M","","M"
"-115.79","54.14","WHITECOURT A","3067372","2013-01-26","2013","01","26","","-1.3","E","-15.0","E","-8.2","E","26.2","E","0.0","E","","M","","M","0.0","E","33","","","M","","M"
