"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.78","54.14","WHITECOURT","3067371","2010-01-01","2010","01","01","","-18.6","","-27.9","","-23.3","","41.3","","0.0","","","M","","M","","M","","","9","","39",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-02","2010","01","02","","-15.3","","-18.6","","-17.0","","35.0","","0.0","","","M","","M","","M","","","30","","37",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-03","2010","01","03","","-10.4","","-18.6","","-14.5","","32.5","","0.0","","","M","","M","","M","","","31","","43",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-04","2010","01","04","","-18.6","","-25.5","","-22.1","","40.1","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-05","2010","01","05","","-14.5","","-23.9","","-19.2","","37.2","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-06","2010","01","06","","-14.8","","-22.0","","-18.4","","36.4","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-07","2010","01","07","","-15.3","","-26.3","","-20.8","","38.8","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-08","2010","01","08","","-1.6","","-16.7","","-9.2","","27.2","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-09","2010","01","09","","3.6","","-7.7","","-2.1","","20.1","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-10","2010","01","10","","1.9","","-3.5","","-0.8","","18.8","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-11","2010","01","11","","4.4","","-3.9","","0.3","","17.7","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-12","2010","01","12","","5.4","","-1.4","","2.0","","16.0","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-13","2010","01","13","","3.3","","-10.7","","-3.7","","21.7","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-14","2010","01","14","","4.6","","-11.7","","-3.6","","21.6","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-15","2010","01","15","","5.9","","-0.2","","2.9","","15.1","","0.0","","","M","","M","","M","","","30","","57",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-16","2010","01","16","","4.0","","-5.9","","-1.0","","19.0","","0.0","","","M","","M","","M","","","27","","37",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-17","2010","01","17","","-3.5","","-12.4","","-8.0","","26.0","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-18","2010","01","18","","-2.8","","-15.2","","-9.0","","27.0","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-19","2010","01","19","","0.0","","-12.4","","-6.2","","24.2","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-20","2010","01","20","","-7.7","","-11.6","","-9.7","","27.7","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-21","2010","01","21","","-8.1","","-10.7","","-9.4","","27.4","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-22","2010","01","22","","-7.1","","-9.8","","-8.5","","26.5","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-23","2010","01","23","","-6.8","","-9.3","","-8.1","","26.1","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-24","2010","01","24","","-8.6","","-11.8","","-10.2","","28.2","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-25","2010","01","25","","-11.8","","-15.8","","-13.8","","31.8","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-26","2010","01","26","","-10.6","","-18.5","","-14.6","","32.6","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-27","2010","01","27","","-10.0","","-24.4","","-17.2","","35.2","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-28","2010","01","28","","-3.5","","-19.4","","-11.5","","29.5","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-29","2010","01","29","","-8.4","","-14.5","","-11.5","","29.5","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-30","2010","01","30","","-9.0","","-13.3","","-11.2","","29.2","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-01-31","2010","01","31","","-11.7","","-14.9","","-13.3","","31.3","","0.0","","","M","","M","","M","","","10","","35",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-01","2010","02","01","","-4.3","","-12.6","","-8.5","","26.5","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-02","2010","02","02","","-5.5","","-11.3","","-8.4","","26.4","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-03","2010","02","03","","-4.5","","-8.7","","-6.6","","24.6","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-04","2010","02","04","","-5.1","","-8.4","","-6.8","","24.8","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-05","2010","02","05","","-8.4","","-13.7","","-11.1","","29.1","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-06","2010","02","06","","-10.1","","-17.3","","-13.7","","31.7","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-07","2010","02","07","","-8.2","","-16.9","","-12.6","","30.6","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-08","2010","02","08","","-3.8","","-10.7","","-7.3","","25.3","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-09","2010","02","09","","2.7","","-16.9","","-7.1","","25.1","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-10","2010","02","10","","3.1","","-7.0","","-2.0","","20.0","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-11","2010","02","11","","1.3","","-8.8","","-3.8","","21.8","","0.0","","","M","","M","","M","","","","","<31",""
"-115.78","54.14","WHITECOURT","3067371","2010-02-12","2010","02","12","","-7.2","","-13.1","","-10.2","","28.2","","0.0","","","M","","M","","M","","","10","","33",""
