"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-01","2008","01","01","","-16.7","","-26.3","","-21.5","","39.5","","0.0","","","M","","M","0.0","","15","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-02","2008","01","02","","-11.2","","-26.3","","-18.8","","36.8","","0.0","","0.0","","","M","0.4","","14","","19","","69",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-03","2008","01","03","","-2.2","","-12.3","","-7.3","","25.3","","0.0","","","M","","M","0.0","","21","","18","","70",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-04","2008","01","04","","-3.9","","-12.3","","-8.1","","26.1","","0.0","","","M","","M","0.0","","23","","16","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-05","2008","01","05","","-0.9","","-10.6","","-5.8","","23.8","","0.0","","","M","","M","0.0","","23","","17","","48",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-06","2008","01","06","","2.8","","-2.8","","0.0","","18.0","","0.0","","","M","","M","0.4","","23","","21","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-07","2008","01","07","","-1.6","","-12.5","","-7.1","","25.1","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-08","2008","01","08","","-8.9","","-16.2","","-12.6","","30.6","","0.0","","","M","","M","0.3","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-09","2008","01","09","","-7.5","","-18.4","","-13.0","","31.0","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-10","2008","01","10","","-7.7","","-13.1","","-10.4","","28.4","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-11","2008","01","11","","-8.2","","-11.8","","-10.0","","28.0","","0.0","","","M","","M","0.3","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-12","2008","01","12","","-9.1","","-17.5","","-13.3","","31.3","","0.0","","","M","","M","0.4","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-13","2008","01","13","","-8.8","","-30.4","","-19.6","","37.6","","0.0","","","M","","M","0.3","","24","","36","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-14","2008","01","14","","-19.8","","-32.7","","-26.3","","44.3","","0.0","","","M","","M","0.3","","23","","16","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-15","2008","01","15","","-8.6","","-20.0","","-14.3","","32.3","","0.0","","","M","","M","0.3","","27","","17","","76",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-16","2008","01","16","","-9.2","","-25.3","","-17.3","","35.3","","0.0","","","M","","M","0.3","","23","","33","","52",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-17","2008","01","17","","-13.8","","-25.3","","-19.6","","37.6","","0.0","","","M","","M","0.0","","22","","36","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-18","2008","01","18","","-23.1","","-30.1","","-26.6","","44.6","","0.0","","","M","","M","0.0","","22","","30","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-19","2008","01","19","","-21.9","","-31.5","","-26.7","","44.7","","0.0","","","M","","M","0.0","","22","","31","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-20","2008","01","20","","-20.8","","-31.6","","-26.2","","44.2","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-21","2008","01","21","","-14.4","","-29.4","","-21.9","","39.9","","0.0","","","M","","M","0.0","","22","","18","","33",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-22","2008","01","22","","-15.1","","-30.7","","-22.9","","40.9","","0.0","","","M","","M","0.3","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-23","2008","01","23","","-20.8","","-32.6","","-26.7","","44.7","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-24","2008","01","24","","-11.8","","-25.7","","-18.8","","36.8","","0.0","","","M","","M","0.0","","22","","19","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-25","2008","01","25","","-14.5","","-24.4","","-19.5","","37.5","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-26","2008","01","26","","-12.5","","-19.8","","-16.2","","34.2","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-27","2008","01","27","","-3.7","","-17.7","","-10.7","","28.7","","0.0","","","M","","M","0.0","","22","","17","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-28","2008","01","28","","-4.3","","-20.0","","-12.2","","30.2","","0.0","","","M","","M","0.3","","23","","31","","65",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-29","2008","01","29","","-20.0","","-30.0","","-25.0","","43.0","","0.0","","","M","","M","0.6","","22","","31","","70",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-30","2008","01","30","","-25.2","","-32.8","","-29.0","","47.0","","0.0","","","M","","M","0.0","","22","","31","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-01-31","2008","01","31","","-12.7","","-30.3","","-21.5","","39.5","","0.0","","","M","","M","0.0","","22","","17","","65",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-01","2008","02","01","","-8.5","","-23.8","","-16.2","","34.2","","0.0","","","M","","M","0.0","","22","","16","","70",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-02","2008","02","02","","-19.5","","-28.4","","-24.0","","42.0","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-03","2008","02","03","","-8.8","","-20.7","","-14.8","","32.8","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-04","2008","02","04","","-10.7","","-19.1","","-14.9","","32.9","","0.0","","","M","","M","0.3","","22","","1","","44",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-05","2008","02","05","","-19.0","","-29.0","","-24.0","","42.0","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-06","2008","02","06","","-9.2","","-23.1","","-16.2","","34.2","","0.0","","","M","","M","0.0","","22","","18","","61",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-07","2008","02","07","","-6.1","","-15.2","","-10.7","","28.7","","0.0","","","M","","M","0.0","","22","","19","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-08","2008","02","08","","-5.4","","-17.7","","-11.6","","29.6","","0.0","","","M","","M","0.0","","22","","19","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-09","2008","02","09","","-9.2","","-27.2","","-18.2","","36.2","","0.0","","","M","","M","0.6","","22","","31","","65",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-10","2008","02","10","","-27.0","","-32.9","","-30.0","","48.0","","0.0","","","M","","M","0.0","","22","","33","","50",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-11","2008","02","11","","-19.2","","-31.7","","-25.5","","43.5","","0.0","","","M","","M","0.0","","22","","20","","37",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-12","2008","02","12","","-11.3","","-24.6","","-18.0","","36.0","","0.0","","","M","","M","0.7","","22","","18","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-13","2008","02","13","","-23.4","","-31.5","","-27.5","","45.5","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-14","2008","02","14","","-24.8","","-34.8","","-29.8","","47.8","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-15","2008","02","15","","-15.7","","-34.2","","-25.0","","43.0","","0.0","","","M","","M","0.0","","22","","17","","48",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-16","2008","02","16","","-0.6","","-15.7","","-8.2","","26.2","","0.0","","","M","","M","0.9","","22","","17","","57",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-17","2008","02","17","","-2.2","","-21.7","","-12.0","","30.0","","0.0","","","M","","M","0.8","","22","","34","","54",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-18","2008","02","18","","-20.1","","-30.3","","-25.2","","43.2","","0.0","","","M","","M","0.0","","22","","34","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-19","2008","02","19","","-26.8","","-34.5","","-30.7","","48.7","","0.0","","","M","","M","0.0","","22","","35","","48",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-20","2008","02","20","","-22.4","","-34.6","","-28.5","","46.5","","0.0","","","M","","M","0.0","","22","","18","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-21","2008","02","21","","-11.1","","-26.5","","-18.8","","36.8","","0.0","","","M","","M","0.0","","22","","19","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-22","2008","02","22","","-10.8","","-24.1","","-17.5","","35.5","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-23","2008","02","23","","-6.0","","-19.4","","-12.7","","30.7","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-24","2008","02","24","","-2.9","","-14.9","","-8.9","","26.9","","0.0","","","M","","M","0.0","","22","","1","","41",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-25","2008","02","25","","-6.2","","-17.7","","-12.0","","30.0","","0.0","","","M","","M","0.0","","22","","35","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-26","2008","02","26","","-7.6","","-19.2","","-13.4","","31.4","","0.0","","0.0","","","M","0.4","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-27","2008","02","27","","-9.2","","-22.9","","-16.1","","34.1","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-28","2008","02","28","","-0.7","","-14.8","","-7.8","","25.8","","0.0","","","M","","M","1.2","","23","","18","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-02-29","2008","02","29","","-3.8","","-16.9","","-10.4","","28.4","","0.0","","0.0","","","M","0.4","","24","","33","","61",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-01","2008","03","01","","-1.2","","-14.2","","-7.7","","25.7","","0.0","","","M","","M","0.0","","32","","15","","52",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-02","2008","03","02","","-1.4","","-17.2","","-9.3","","27.3","","0.0","","","M","","M","0.4","","26","","32","","63",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-03","2008","03","03","","-17.1","","-22.7","","-19.9","","37.9","","0.0","","","M","","M","0.3","","22","","31","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-04","2008","03","04","","-10.5","","-21.9","","-16.2","","34.2","","0.0","","","M","","M","0.8","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-05","2008","03","05","","-14.4","","-28.0","","-21.2","","39.2","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-06","2008","03","06","","","M","-32.1","E","","M","","M","","M","","M","","M","","M","22","","","M","","M"
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-07","2008","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-08","2008","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-09","2008","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-10","2008","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-11","2008","03","11","","2.1","","-7.4","","-2.7","","20.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-12","2008","03","12","","2.3","","-4.8","","-1.3","","19.3","","0.0","","","M","","M","0.3","","33","","17","","48",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-13","2008","03","13","","1.1","","-7.5","","-3.2","","21.2","","0.0","","","M","","M","0.3","","30","","31","","46",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-14","2008","03","14","","-6.3","","-15.7","","-11.0","","29.0","","0.0","","","M","","M","0.0","","27","","32","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-15","2008","03","15","","-7.8","","-19.9","","-13.9","","31.9","","0.0","","","M","","M","0.0","","27","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-16","2008","03","16","","-0.8","","-14.0","","-7.4","","25.4","","0.0","","","M","","M","0.0","","27","","18","","61",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-17","2008","03","17","","1.8","","-2.1","","-0.2","","18.2","","0.0","","","M","","M","0.0","","27","","19","","59",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-18","2008","03","18","","3.8","","-5.9","","-1.1","","19.1","","0.0","","","M","","M","0.0","","25","","18","","43",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-19","2008","03","19","","-3.6","","-11.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","22","","3","","32",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-20","2008","03","20","","1.6","","-12.7","","-5.6","","23.6","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-21","2008","03","21","","3.7","","-6.8","","-1.6","","19.6","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-97.25","49.92","WINNIPEG A CS","502S001","2008-03-22","2008","03","22","","-1.2","","-11.1","","-6.2","","24.2","","0.0","","","M","","M","0.0","","17","","34","","39",""
