"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-01","2011","01","01","","-13.6","","-18.1","","-15.9","","33.9","","0.0","","","M","","M","0.0","","","","31","","43",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-02","2011","01","02","","-15.3","","-22.0","","-18.7","","36.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-03","2011","01","03","","-16.1","","-23.6","","-19.9","","37.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-04","2011","01","04","","-12.4","","-18.4","","-15.4","","33.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-05","2011","01","05","","-13.0","","-18.4","","-15.7","","33.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-06","2011","01","06","","-15.5","","-21.5","","-18.5","","36.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-07","2011","01","07","","-12.0","","-18.5","","-15.3","","33.3","","0.0","","","M","","M","0.0","","","","32","","33",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-08","2011","01","08","","-12.0","","-17.8","","-14.9","","32.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-09","2011","01","09","","-13.9","","-19.1","","-16.5","","34.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-10","2011","01","10","","-10.9","","-17.7","","-14.3","","32.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-11","2011","01","11","","-11.3","","-14.6","","-13.0","","31.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-12","2011","01","12","","-13.2","","-17.8","","-15.5","","33.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-13","2011","01","13","","-8.1","","-15.3","","-11.7","","29.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-14","2011","01","14","","-12.5","","-18.2","","-15.4","","33.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2011-01-15","2011","01","15","","-18.2","","-24.4","","-21.3","","39.3","","0.0","","","M","","M","0.0","","","","","","<31",""
