"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.17","58.58","ZAMA LO","3078000","2011-01-01","2011","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-02","2011","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-03","2011","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-04","2011","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-05","2011","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-06","2011","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-07","2011","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-08","2011","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-09","2011","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-10","2011","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-11","2011","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-12","2011","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.17","58.58","ZAMA LO","3078000","2011-01-13","2011","01","13","","","","","","","","","","","","","","","","","","","","","","",""
