,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,DLY_FIRST_DATE,DLY_LAST_DATE,FIRST_DATE,LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA
0,3692,WINNIPEG BROOKLANDS,MB,MANITOBA,MANITOBA,CAN,49.5,-97.11,CST,,5023180,,,UNKNOWN,,1.0,9.0,,,,,1955-04-01,1955-08-31,1955-01-01 00:00:00,1955-12-01 00:00:00,Y,N
1,48951,NORWAY HOUSE,MB,MANITOBA,MANITOBA,CAN,53.573,-97.5039,CST,223.70,5062040,YNE,71410,NCA,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2010-09-23,2021-04-30,2010-09-20 11:00:00,2021-04-30 12:30:37,Y,N
2,53318,BERENS RIVER A,MB,MANITOBA,MANITOBA,CAN,52.2132,-97.0105,CST,222.20,5030204,YBV,,NCA,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2018-10-29,2021-04-30,2015-01-15 13:00:00,2021-04-30 12:30:37,Y,N
3,3469,BIRTLE,MB,MANITOBA,MANITOBA,CAN,50.26,-101.03,CST,522.00,5010240,,,DAILY CLIMATE,C,1.0,4.0,,,,,1883-02-01,2000-11-30,1883-01-01 00:00:00,2000-11-30 00:00:00,Y,N
4,10882,BACHELORS ISLAND MARINE,MB,MANITOBA,MANITOBA,CAN,51.45,-99.54,CST,255.90,5040131,WBL,71143,AU8,G,1.0,8.0,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1994-07-06,2012-11-05,1994-02-01 00:15:00,2012-11-05 13:00:00,Y,N
5,3740,GRAND RAPIDS,MB,MANITOBA,MANITOBA,CAN,53.11,-99.16,CST,222.50,5031110,,,UNKNOWN,F,1.0,7.0,,,,,1960-07-01,1979-05-31,1960-01-01 00:00:00,1979-12-01 00:00:00,Y,N
6,48128,CYPRESS RIVER RCS,MB,MANITOBA,MANITOBA,CAN,49.3344,-99.0426,CST,374.00,5010641,POY,71239,AU8,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,2009-09-11,2021-04-30,2009-09-09 13:00:00,2021-04-30 12:30:37,Y,N
7,3906,THOMPSON NRC,MB,MANITOBA,MANITOBA,CAN,55.44,-97.51,CST,212.80,5062923,,,UNKNOWN,,1.0,9.0,,,,,1966-10-01,1969-04-30,1966-01-01 00:00:00,1969-12-01 00:00:00,Y,N
8,3609,HOLLAND,MB,MANITOBA,MANITOBA,CAN,49.3622,-98.523,CST,374.90,5021302,,,DAILY CLIMATE,E,1.0,6.0,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1984-08-01,2021-04-29,1984-01-01 00:00:00,2021-04-29 00:00:00,Y,N
9,3537,SANDY LAKE,MB,MANITOBA,MANITOBA,CAN,50.3,-100.06,CST,624.80,5012620,,,DAILY CLIMATE,F,1.0,7.0,,,,,1973-05-01,2005-03-31,1973-01-01 00:00:00,2005-03-31 00:00:00,Y,N
10,48969,CHURCHILL A,MB,MANITOBA,MANITOBA,CAN,58.4421,-94.0359,CST,29.30,5060595,YYQ,71618,NCA,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2010-11-18,2021-04-30,2010-11-15 09:00:00,2021-04-30 12:30:37,Y,N
11,29796,REINDEER LAKE,MB,MANITOBA,MANITOBA,CAN,57.53,-101.4,CST,225.00,5062350,,,AU7,G,1.0,9.0,,,,,2000-02-01,2001-10-31,2000-02-01 00:00:00,2001-10-31 00:00:00,Y,N
12,3881,KELSEY HYDRO,MB,MANITOBA,MANITOBA,CAN,56.02,-96.32,CST,182.90,5061423,,,,F,1.0,7.0,,,,,1983-12-01,1995-11-30,1983-01-01 00:00:00,1995-11-30 00:00:00,Y,N
13,3481,CYPRESS RIVER,MB,MANITOBA,MANITOBA,CAN,49.33,-99.05,CST,374.30,5010640,,,DAILY CLIMATE,A,1.0,1.0,,,,,1904-06-01,2012-03-30,1904-01-01 00:00:00,2012-03-30 00:00:00,N,Y
14,3768,FORK RIVER NORTH,MB,MANITOBA,MANITOBA,CAN,51.34,-99.59,CST,259.70,5040R73,,,DAILY CLIMATE,E,1.0,6.0,,,,,1982-07-01,2002-04-30,1982-01-01 00:00:00,2002-04-30 00:00:00,Y,N
15,3653,PLUM COULEE,MB,MANITOBA,MANITOBA,CAN,49.03,-97.48,CST,265.20,5022245,,,DAILY CLIMATE,A,1.0,1.0,,,,,1961-06-01,2003-08-31,1961-01-01 00:00:00,2003-08-31 00:00:00,Y,Y
16,26857,CARMAN U OF M CS,MB,MANITOBA,MANITOBA,CAN,49.29532,-98.01471,CST,268.20,502I001,WNK,71147,AU8,F,1.0,7.0,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1995-06-27,2021-04-30,1995-06-27 00:00:00,2021-04-30 12:30:37,Y,N
17,3750,PINAWA,MB,MANITOBA,MANITOBA,CAN,50.13,-95.55,CST,259.10,5032160,,,UNKNOWN,,1.0,9.0,,,,,1915-06-01,1951-09-30,1915-01-01 00:00:00,1951-12-01 00:00:00,Y,N
18,3911,WHISKEY JACK,MB,MANITOBA,MANITOBA,CAN,54.26,-98.01,CST,221.00,5063148,,,UNKNOWN,G,1.0,8.0,,,,,1971-01-01,1972-04-30,1971-01-01 00:00:00,1972-12-01 00:00:00,Y,N
19,3475,CARROLL 2W,MB,MANITOBA,MANITOBA,CAN,49.36,-100.04,CST,457.20,50105ED,,,UNKNOWN,G,1.0,9.0,,,,,1973-09-01,1975-04-30,1973-01-01 00:00:00,1975-12-01 00:00:00,Y,N
20,10217,GILLAM,MB,MANITOBA,MANITOBA,CAN,56.2132028,-94.4215024,CST,145.30,5060999,WGX,,AU8,G,1.0,8.0,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1996-09-01,2021-04-30,1994-02-01 01:15:00,2021-04-30 12:30:37,Y,N
21,10186,PINAWA,MB,MANITOBA,MANITOBA,CAN,50.103802,-96.0353,CST,268.00,503B1ER,WEA,71448,AU8,G,1.0,8.0,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1992-12-01,2021-04-30,1992-12-01 00:00:00,2021-04-30 12:30:37,Y,N
22,3553,TURTLE MOUNTAIN 2,MB,MANITOBA,MANITOBA,CAN,49.05,-100.47,CST,472.10,5012937,,,UNKNOWN,G,1.0,8.0,,,,,1978-10-01,1986-05-31,1978-01-01 00:00:00,1986-12-01 00:00:00,Y,N
23,3890,NORWAY HOUSE,MB,MANITOBA,MANITOBA,CAN,53.59,-97.5,CST,217.00,5062047,,,UNKNOWN,,1.0,9.0,,,,,1884-10-01,1968-03-31,1884-10-01 00:00:00,1968-12-01 00:00:00,Y,N
24,3631,MYRTLE,MB,MANITOBA,MANITOBA,CAN,49.24,-97.47,CST,247.80,5021975,,,DAILY CLIMATE,A,1.0,1.0,,,,,1966-06-01,2003-11-30,1966-01-01 00:00:00,2003-11-30 00:00:00,Y,Y
25,3788,ERIKSDALE 1,MB,MANITOBA,MANITOBA,CAN,50.52,-98.08,CST,268.20,5040896,,,UNKNOWN,F,1.0,7.0,,,,,1978-08-01,1988-05-31,1978-01-01 00:00:00,1988-12-01 00:00:00,Y,N
26,3500,HARTNEY,MB,MANITOBA,MANITOBA,CAN,49.3,-100.32,CST,428.20,5011283,,,UNKNOWN,G,1.0,8.0,,,,,1979-05-01,1984-10-31,1979-01-01 00:00:00,1984-12-01 00:00:00,Y,N
27,43194,WINNIPEG FED LAB,MB,MANITOBA,MANITOBA,CAN,49.5429,-97.0948,CST,230.00,5023284,,,DAILY CLIMATE,,,,,,,,2004-11-01,2008-04-28,2004-11-01 00:00:00,2008-04-28 00:00:00,Y,N
28,3730,ELMA,MB,MANITOBA,MANITOBA,CAN,49.46,-95.56,CST,292.70,5030869,,,UNKNOWN,G,1.0,8.0,,,,,1978-06-01,1992-10-31,1978-01-01 00:00:00,1992-12-01 00:00:00,Y,N
29,43193,WINNIPEG WTC STAPON,MB,MANITOBA,MANITOBA,CAN,49.5402,-97.0353,CST,234.00,5023283,,,DAILY CLIMATE,,,,,,,,2004-10-01,2008-12-09,2004-10-01 00:00:00,2008-12-09 00:00:00,Y,N
30,3641,OAKBANK,MB,MANITOBA,MANITOBA,CAN,49.56,-96.51,CST,245.60,5022051,,,DAILY CLIMATE,E,1.0,6.0,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1885-04-01,2021-04-28,1885-01-01 00:00:00,2021-04-28 00:00:00,Y,N
31,3570,CARMAN 3,MB,MANITOBA,MANITOBA,CAN,49.31,-97.57,CST,258.50,5020N53,,,UNKNOWN,G,1.0,8.0,,,,,1984-09-01,1987-08-31,1984-01-01 00:00:00,1987-12-01 00:00:00,Y,N
32,3717,ARBORG,MB,MANITOBA,MANITOBA,CAN,50.56,-97.05,CST,224.00,5030080,,,DAILY CLIMATE,A,1.0,1.0,,,,,1951-01-01,2016-06-13,1951-01-01 00:00:00,2016-06-13 00:00:00,N,Y
33,3569,WHITE HORSE PLAINS,MB,MANITOBA,MANITOBA,CAN,49.56,-97.36,CST,237.40,502LA48,,,UNKNOWN,G,1.0,9.0,,,,,1988-06-01,1989-10-31,1988-01-01 00:00:00,1989-12-01 00:00:00,Y,N
34,3485,EDWIN,MB,MANITOBA,MANITOBA,CAN,49.49,-98.31,CST,300.80,5010859,,,UNKNOWN,G,1.0,9.0,,,,,1986-08-01,1986-10-31,1986-01-01 00:00:00,1986-12-01 00:00:00,Y,N
35,3895,PONTON,MB,MANITOBA,MANITOBA,CAN,54.4,-99.1,CST,259.10,5062251,,,UNKNOWN,G,1.0,9.0,,,,,1981-07-01,1981-11-30,1981-01-01 00:00:00,1981-12-01 00:00:00,Y,N
36,29593,MORDEN CDA CS,MB,MANITOBA,MANITOBA,CAN,49.11155,-98.05022,CST,297.50,5021849,XMD,71564,AU8,G,1.0,8.0,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1999-12-01,2021-04-30,1999-12-01 00:00:00,2021-04-30 12:30:37,Y,N
37,3829,NEEPAWA A,MB,MANITOBA,MANITOBA,CAN,50.14,-99.3,CST,388.00,5042000,,,UNKNOWN,,1.0,9.0,,,,,1945-10-01,1962-10-31,1945-01-01 00:00:00,1962-12-01 00:00:00,Y,N
38,47367,VIRDEN WATER,MB,MANITOBA,MANITOBA,CAN,49.50295,-100.56037,CST,439.50,5012961,,,DAILY CLIMATE,,,,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,2008-07-25,2021-04-18,2008-07-25 00:00:00,2021-04-18 00:00:00,Y,N
39,3865,THE PAS CDA EPF,MB,MANITOBA,MANITOBA,CAN,53.49,-101.15,CST,271.30,5052896,,,UNKNOWN,,1.0,9.0,,,,,1951-05-01,1964-08-31,1951-01-01 00:00:00,1964-12-01 00:00:00,Y,N
40,3732,FISHER BRANCH,MB,MANITOBA,MANITOBA,CAN,51.06,-97.33,CST,246.90,5030916,,,DAILY CLIMATE,G,1.0,8.0,,,,,1970-06-01,2005-10-31,1970-01-01 00:00:00,2005-10-31 00:00:00,Y,N
41,3492,GLENBORO,MB,MANITOBA,MANITOBA,CAN,49.34,-99.2,CST,371.90,5011051,,,UNKNOWN,D,1.0,5.0,,,,,1970-06-01,1992-09-30,1970-01-01 00:00:00,1992-12-01 00:00:00,Y,N
42,3826,MOOSEHORN COOK,MB,MANITOBA,MANITOBA,CAN,51.17,-98.25,CST,265.20,5041804,,,UNKNOWN,F,1.0,7.0,,,,,1982-10-01,1993-03-31,1982-01-01 00:00:00,1993-12-01 00:00:00,Y,N
43,48868,DAUPHIN,MB,MANITOBA,MANITOBA,CAN,51.0603,-100.0309,CST,304.50,5040689,YDN,71036,NCA,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2010-07-29,2021-04-30,2010-07-26 08:00:00,2021-04-30 12:30:37,Y,N
